ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m)
1762808935.496520,0.131379073,-0.035083427,-0.035172773,-0.001090240,-0.001762540,0.000502480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.498765,0.024489073,-0.020290427,-0.005637773,-0.000392240,-0.000309540,0.000193480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.500512,0.092920073,-0.024028427,-0.013956773,-0.000334240,-0.001065540,0.001382480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.502501,0.031756073,-0.003770427,-0.001303773,-0.000541240,-0.000037540,0.000622480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.504502,0.032260073,-0.020911427,-0.010321773,-0.000250240,0.000289460,0.000079480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.507345,0.070301073,0.006306573,-0.011744773,0.000159760,-0.001909540,0.000263480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.508575,0.032083073,-0.016557427,-0.007844773,-0.000524240,0.000319460,0.000020480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.510574,0.046819073,-0.003252427,0.003764227,-0.000664240,-0.000412540,0.000354480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.512529,0.047394073,-0.023978427,-0.002652773,-0.000233240,-0.000710540,-0.000525520,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.514571,0.077549073,-0.016126427,-0.003719773,-0.000222240,-0.000503540,0.000774480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.516533,0.085365073,-0.008501427,-0.014081773,0.000045760,0.000027460,0.001328480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.518546,0.047055073,-0.011457427,-0.005984773,-0.000787240,-0.000532540,0.000459480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.520530,0.031831073,-0.015537427,-0.002674773,-0.001063240,-0.000274540,-0.000385520,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.522526,0.062269073,-0.004271427,-0.006304773,-0.000382240,0.000339460,0.000885480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.986524096,-0.001018549,0.023050512,-0.003321367,-0.014645066,0.557697965
1762808935.524548,0.055063073,-0.011921427,-0.005425773,0.000029760,-0.000305540,-0.000411520,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.983573895,-0.007530316,0.022279966,-0.003319749,-0.014637554,0.557592692
1762808935.526548,0.039912073,-0.016040427,-0.017671773,-0.000649240,-0.000018540,-0.000107520,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.985608588,0.000974580,0.023279577,-0.003320656,-0.014643030,0.557680676
1762808935.528591,0.054735073,-0.002504427,0.009273227,0.000018760,-0.001218540,-0.000916520,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.985608588,0.000974580,0.023279577,-0.003320656,-0.014643030,0.557680676
1762808935.530540,0.054883073,-0.020464427,-0.005434773,-0.000368240,-0.000088540,0.000066480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.985608588,0.000974580,0.023279577,-0.003320656,-0.014643030,0.557680676
1762808935.532557,0.047233073,-0.011454427,-0.010965773,-0.000651240,-0.000592540,0.000465480,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.985608588,0.000974580,0.023279577,-0.003320656,-0.014643030,0.557680676
1762808935.534549,0.054888073,-0.003209427,-0.005453773,-0.000383240,-0.000305540,-0.000522520,0.447864246,-0.000028657,0.207738486,0.000035126,0.725218397,-0.000105826,0.688518892,1,3,-2.985608588,0.000974580,0.023279577,-0.003320656,-0.014643030,0.557680676
