ros_time_sec,tag_id,roll(rad),pitch(rad),yaw(rad),tx(m),ty(m),tz(m),q_x,q_y,q_z,q_w
1760130317.566915,3,-2.979675,-0.007002,0.019415,-0.006680,-0.010169,0.566427,0.996669,0.009959,0.002704,-0.080900
1760130317.598497,3,-2.979028,-0.011577,0.019102,-0.006678,-0.010171,0.566415,0.996632,0.009989,0.004993,-0.081243
1760130317.635735,3,-2.979420,-0.011092,0.019117,-0.006679,-0.010170,0.566540,0.996649,0.009976,0.004753,-0.081045
1760130317.667281,3,-2.981261,-0.012329,0.019299,-0.006678,-0.010169,0.566535,0.996718,0.010112,0.005372,-0.080134
1760130317.702707,3,-2.980387,-0.011263,0.019274,-0.006679,-0.010172,0.566547,0.996687,0.010059,0.004837,-0.080565
1760130317.735159,3,-2.981601,-0.013482,0.018907,-0.006675,-0.010173,0.566627,0.996730,0.009962,0.005964,-0.079969
1760130317.770723,3,-2.979888,-0.008918,0.019709,-0.006680,-0.010172,0.566459,0.996671,0.010182,0.003648,-0.080804
1760130317.806319,3,-2.981370,-0.011760,0.019201,-0.006675,-0.010172,0.566515,0.996725,0.010040,0.005093,-0.080077
1760130317.838569,3,-2.981415,-0.008964,0.019134,-0.006675,-0.010174,0.566462,0.996736,0.009895,0.003702,-0.080041
1760130317.874673,3,-2.980041,-0.006278,0.019476,-0.006682,-0.010169,0.566494,0.996685,0.009959,0.002343,-0.080714
1760130317.906669,3,-2.979730,-0.013929,0.019103,-0.006673,-0.010168,0.566459,0.996652,0.010083,0.006169,-0.080903
1760130317.942565,3,-2.977376,-0.006929,0.019192,-0.006677,-0.010163,0.566280,0.996576,0.009848,0.002666,-0.082045
1760130317.978647,3,-2.979265,-0.009024,0.019118,-0.006676,-0.010172,0.566450,0.996649,0.009893,0.003722,-0.081113
1760130318.011146,3,-2.981836,-0.014535,0.018836,-0.006674,-0.010175,0.566552,0.996735,0.009967,0.006493,-0.079856
1760130318.046682,3,-2.980893,-0.007789,0.019401,-0.006678,-0.010167,0.566427,0.996716,0.009982,0.003103,-0.080297
1760130318.079287,3,-2.982822,-0.013486,0.019010,-0.006677,-0.010171,0.566488,0.996778,0.010009,0.005968,-0.079360
1760130318.115256,3,-2.977561,-0.013199,0.018891,-0.006673,-0.010166,0.566341,0.996567,0.009954,0.005803,-0.081981
1760130318.147181,3,-2.981097,-0.009917,0.019091,-0.006680,-0.010167,0.566403,0.996720,0.009912,0.004177,-0.080204
1760130318.183217,3,-2.977254,-0.010682,0.018957,-0.006672,-0.010165,0.566285,0.996563,0.009885,0.004545,-0.082122
1760130318.218740,3,-2.980682,-0.006355,0.019567,-0.006681,-0.010170,0.566407,0.996710,0.010007,0.002381,-0.080395
1760130318.250520,3,-2.981022,-0.012315,0.018922,-0.006676,-0.010171,0.566463,0.996711,0.009924,0.005378,-0.080252
1760130318.287198,3,-2.978608,-0.010288,0.019351,-0.006678,-0.010167,0.566321,0.996617,0.010062,0.004339,-0.081447
1760130318.318609,3,-2.980757,-0.009254,0.019133,-0.006677,-0.010173,0.566430,0.996708,0.009907,0.003843,-0.080371
1760130318.354663,3,-2.979544,-0.011111,0.019030,-0.006675,-0.010168,0.566397,0.996655,0.009933,0.004767,-0.080983
1760130318.386761,3,-2.981279,-0.008234,0.019383,-0.006680,-0.010170,0.566564,0.996731,0.009990,0.003328,-0.080106
1760130318.422380,3,-2.980805,-0.004149,0.019649,-0.006680,-0.010169,0.566407,0.996718,0.009959,0.001279,-0.080324
1760130318.454894,3,-2.979835,-0.009614,0.019045,-0.006673,-0.010165,0.566345,0.996671,0.009880,0.004022,-0.080832
1760130318.490705,3,-2.982340,-0.007660,0.019553,-0.006673,-0.010172,0.566491,0.996774,0.010050,0.003040,-0.079575
1760130318.526421,3,-2.980788,-0.009259,0.019435,-0.006676,-0.010168,0.566499,0.996708,0.010058,0.003834,-0.080356
1760130318.559067,3,-2.980618,-0.010276,0.019289,-0.006679,-0.010172,0.566422,0.996699,0.010026,0.004345,-0.080445
1760130318.594887,3,-2.978386,-0.008212,0.019499,-0.006680,-0.010164,0.566363,0.996613,0.010052,0.003298,-0.081548
1760130318.627502,3,-2.977657,-0.014982,0.018794,-0.006676,-0.010165,0.566355,0.996565,0.009979,0.006696,-0.081940
1760130318.663153,3,-2.978758,-0.009264,0.019450,-0.006679,-0.010167,0.566452,0.996626,0.010069,0.003826,-0.081368
1760130318.698666,3,-2.978465,-0.010393,0.019114,-0.006678,-0.010170,0.566420,0.996613,0.009948,0.004400,-0.081518
1760130318.730376,3,-2.981135,-0.011286,0.019362,-0.006676,-0.010170,0.566439,0.996716,0.010102,0.004849,-0.080192
1760130318.766601,3,-2.979434,-0.011087,0.018889,-0.006678,-0.010168,0.566436,0.996651,0.009862,0.004760,-0.081038
1760130318.798872,3,-2.979655,-0.013249,0.018844,-0.006674,-0.010166,0.566391,0.996653,0.009927,0.005841,-0.080937
1760130318.834869,3,-2.978712,-0.010071,0.019170,-0.006677,-0.010168,0.566353,0.996623,0.009963,0.004239,-0.081393
1760130318.866921,3,-2.980557,-0.012007,0.018767,-0.006676,-0.010171,0.566466,0.996694,0.009836,0.005229,-0.080482
1760130318.902979,3,-2.980150,-0.008350,0.019326,-0.006674,-0.010167,0.566489,0.996685,0.009968,0.003382,-0.080669
1760130318.938454,3,-2.981129,-0.013308,0.018956,-0.006677,-0.010169,0.566491,0.996711,0.009981,0.005872,-0.080203
1760130318.971320,3,-2.980657,-0.012378,0.018903,-0.006668,-0.010168,0.566465,0.996696,0.009918,0.005409,-0.080434
1760130319.006518,3,-2.980765,-0.008909,0.019357,-0.006677,-0.010168,0.566489,0.996709,0.010005,0.003662,-0.080365
1760130319.039135,3,-2.980939,-0.010058,0.018870,-0.006674,-0.010170,0.566375,0.996715,0.009808,0.004256,-0.080283
1760130319.075062,3,-2.979279,-0.008831,0.019390,-0.006676,-0.010169,0.566441,0.996649,0.010021,0.003615,-0.081106
1760130319.110206,3,-2.979933,-0.007902,0.019415,-0.006680,-0.010171,0.566448,0.996677,0.009995,0.003154,-0.080776
1760130319.142588,3,-2.979875,-0.010510,0.018921,-0.006677,-0.010166,0.566463,0.996670,0.009854,0.004474,-0.080816
1760130319.178401,3,-2.979830,-0.011890,0.019129,-0.006677,-0.010172,0.566418,0.996663,0.010013,0.005152,-0.080845
1760130319.210424,3,-2.979566,-0.010589,0.019361,-0.006677,-0.010170,0.566527,0.996655,0.010077,0.004493,-0.080971
1760130319.246463,3,-2.977668,-0.009265,0.019298,-0.006676,-0.010167,0.566456,0.996582,0.009995,0.003827,-0.081911
1760130319.278449,3,-2.978225,-0.013464,0.018863,-0.006678,-0.010170,0.566381,0.996594,0.009949,0.005940,-0.081651
1760130319.314602,3,-2.980951,-0.013711,0.019043,-0.006676,-0.010171,0.566534,0.996702,0.010041,0.006069,-0.080294
1760130319.346353,3,-2.980268,-0.008129,0.019235,-0.006683,-0.010170,0.566440,0.996691,0.009914,0.003276,-0.080609
1760130319.382491,3,-2.978702,-0.010463,0.019147,-0.006676,-0.010168,0.566451,0.996622,0.009967,0.004435,-0.081400
1760130319.418039,3,-2.978276,-0.007914,0.019586,-0.006679,-0.010168,0.566402,0.996609,0.010083,0.003145,-0.081602
1760130319.451068,3,-2.980250,-0.010245,0.018941,-0.006677,-0.010164,0.566381,0.996686,0.009852,0.004342,-0.080627
1760130319.486426,3,-2.978660,-0.008390,0.019382,-0.006677,-0.010169,0.566350,0.996625,0.010000,0.003392,-0.081412
1760130319.518842,3,-2.979765,-0.009532,0.018977,-0.006675,-0.010167,0.566376,0.996668,0.009842,0.003983,-0.080866
1760130319.554826,3,-2.981931,-0.009612,0.018852,-0.006677,-0.010175,0.566508,0.996756,0.009779,0.004039,-0.079787
1760130319.587312,3,-2.978965,-0.010742,0.019129,-0.006680,-0.010169,0.566371,0.996632,0.009969,0.004576,-0.081270
1760130319.623303,3,-2.980833,-0.007208,0.019652,-0.006679,-0.010172,0.566445,0.996714,0.010084,0.002803,-0.080324
1760130319.658899,3,-2.980362,-0.007341,0.019199,-0.006678,-0.010168,0.566375,0.996697,0.009864,0.002886,-0.080559
1760130319.690306,3,-2.980731,-0.012552,0.019204,-0.006680,-0.010169,0.566534,0.996697,0.010075,0.005484,-0.080399
1760130319.726320,3,-2.980293,-0.010682,0.018830,-0.006679,-0.010167,0.566436,0.996687,0.009814,0.004565,-0.080608
1760130319.758451,3,-2.979257,-0.012659,0.018663,-0.006676,-0.010170,0.566446,0.996640,0.009814,0.005552,-0.081132
1760130319.794576,3,-2.980159,-0.010771,0.019334,-0.006679,-0.010168,0.566482,0.996679,0.010069,0.004588,-0.080676
1760130319.829989,3,-2.980082,-0.014315,0.018919,-0.006677,-0.010166,0.566397,0.996665,0.010006,0.006370,-0.080729
