ros_time_sec,tag_id,roll(rad),pitch(rad),yaw(rad),tx(m),ty(m),tz(m),q_x,q_y,q_z,q_w
1760557512.267985,3,-2.971657,-0.012138,0.023499,-0.009724,-0.016048,0.560689,0.996299,0.012222,0.005050,-0.084929
1760557512.297458,3,-2.968988,-0.011153,0.023681,-0.009719,-0.016047,0.560586,0.996187,0.012277,0.004535,-0.086253
1760557512.333819,3,-2.971968,-0.011376,0.023679,-0.009722,-0.016050,0.560631,0.996314,0.012278,0.004664,-0.084770
1760557512.365775,3,-2.968094,-0.013660,0.023193,-0.009715,-0.016040,0.560473,0.996143,0.012144,0.005799,-0.086712
1760557512.401549,3,-2.966788,-0.011291,0.023666,-0.009717,-0.016033,0.560389,0.996091,0.012280,0.004590,-0.087350
1760557512.438380,3,-2.973783,-0.009632,0.023701,-0.009716,-0.016048,0.560671,0.996396,0.012212,0.003806,-0.083856
1760557512.469687,3,-2.971917,-0.009057,0.023865,-0.009725,-0.016051,0.560600,0.996318,0.012273,0.003501,-0.084783
1760557512.505559,3,-2.970899,-0.012006,0.023715,-0.009712,-0.016042,0.560543,0.996266,0.012325,0.004970,-0.085307
1760557512.537622,3,-2.967336,-0.010901,0.023801,-0.009715,-0.016039,0.560430,0.996116,0.012329,0.004394,-0.087075
1760557512.573672,3,-2.968742,-0.008037,0.023689,-0.009718,-0.016045,0.560529,0.996186,0.012147,0.002981,-0.086359
1760557512.609281,3,-2.971427,-0.009066,0.023725,-0.009717,-0.016053,0.560628,0.996298,0.012204,0.003508,-0.085027
1760557512.642466,3,-2.968691,-0.013404,0.023798,-0.009723,-0.016040,0.560519,0.996166,0.012432,0.005649,-0.086415
1760557512.677653,3,-2.970535,-0.012011,0.023554,-0.009714,-0.016046,0.560645,0.996252,0.012246,0.004977,-0.085488
1760557512.714103,3,-2.970957,-0.014212,0.023759,-0.009723,-0.016048,0.560610,0.996260,0.012441,0.006067,-0.085290
1760557512.745361,3,-2.966884,-0.009651,0.024043,-0.009719,-0.016037,0.560471,0.996098,0.012396,0.003758,-0.087294
1760557512.781529,3,-2.968898,-0.008004,0.023971,-0.009718,-0.016044,0.560598,0.996191,0.012286,0.002953,-0.086281
1760557512.813396,3,-2.968768,-0.012708,0.023435,-0.009715,-0.016041,0.560587,0.996174,0.012221,0.005319,-0.086371
1760557512.850338,3,-2.968348,-0.013992,0.023591,-0.009715,-0.016041,0.560500,0.996150,0.012356,0.005949,-0.086588
1760557512.886417,3,-2.971139,-0.011908,0.024009,-0.009722,-0.016048,0.560674,0.996275,0.012467,0.004910,-0.085187
1760557512.921368,3,-2.970521,-0.012922,0.023213,-0.009717,-0.016046,0.560673,0.996250,0.012116,0.005445,-0.085499
1760557512.957004,3,-2.969130,-0.011953,0.024194,-0.009719,-0.016039,0.560515,0.996187,0.012566,0.004912,-0.086189
1760557513.023412,3,-2.970800,-0.010872,0.023794,-0.009723,-0.016045,0.560652,0.996265,0.012317,0.004401,-0.085350
1760557513.057476,3,-2.967580,-0.011078,0.023699,-0.009714,-0.016041,0.560467,0.996126,0.012286,0.004488,-0.086954
1760557513.090070,3,-2.970499,-0.011193,0.023562,-0.009714,-0.016041,0.560572,0.996253,0.012216,0.004569,-0.085501
1760557513.127906,3,-2.970820,-0.009633,0.023747,-0.009717,-0.016046,0.560597,0.996270,0.012240,0.003786,-0.085333
1760557513.157484,3,-2.969625,-0.010763,0.023679,-0.009717,-0.016043,0.560518,0.996216,0.012258,0.004345,-0.085934
1760557513.194561,3,-2.971086,-0.011077,0.023933,-0.009719,-0.016045,0.560631,0.996276,0.012394,0.004499,-0.085209
1760557513.230309,3,-2.971065,-0.014259,0.023416,-0.009711,-0.016046,0.560621,0.996267,0.012272,0.006106,-0.085236
1760557513.262310,3,-2.971278,-0.012517,0.023733,-0.009728,-0.016046,0.560660,0.996280,0.012355,0.005226,-0.085121
1760557513.297628,3,-2.967792,-0.012371,0.023576,-0.009716,-0.016044,0.560538,0.996132,0.012280,0.005139,-0.086856
1760557513.333961,3,-2.972392,-0.015766,0.023470,-0.009725,-0.016055,0.560746,0.996316,0.012358,0.006863,-0.084583
1760557513.367274,3,-2.970070,-0.013256,0.023864,-0.009711,-0.016046,0.560581,0.996225,0.012455,0.005581,-0.085727
1760557513.403917,3,-2.969020,-0.014731,0.023557,-0.009715,-0.016044,0.560537,0.996176,0.012369,0.006322,-0.086258
1760557513.440038,3,-2.968229,-0.013109,0.023873,-0.009716,-0.016043,0.560556,0.996146,0.012458,0.005496,-0.086643
1760557513.475171,3,-2.969568,-0.010182,0.024016,-0.009713,-0.016047,0.560536,0.996213,0.012400,0.004040,-0.085960
1760557513.508088,3,-2.967418,-0.009224,0.024018,-0.009712,-0.016037,0.560462,0.996123,0.012364,0.003550,-0.087025
1760557513.545915,3,-2.971577,-0.013277,0.023318,-0.009715,-0.016044,0.560627,0.996293,0.012180,0.005624,-0.084975
1760557513.577568,3,-2.969146,-0.014636,0.023370,-0.009715,-0.016049,0.560639,0.996183,0.012271,0.006284,-0.086194
1760557513.612412,3,-2.971101,-0.011755,0.023545,-0.009713,-0.016042,0.560562,0.996277,0.012229,0.004854,-0.085204
1760557513.644236,3,-2.967852,-0.010121,0.023823,-0.009718,-0.016043,0.560606,0.996140,0.012305,0.004008,-0.086814
1760557513.714060,3,-2.973769,-0.014692,0.023691,-0.009719,-0.016052,0.560675,0.996377,0.012419,0.006327,-0.083892
1760557513.750333,3,-2.970026,-0.016049,0.023447,-0.009714,-0.016047,0.560701,0.996214,0.012367,0.006990,-0.085763
1760557513.783634,3,-2.971352,-0.014778,0.023359,-0.009709,-0.016055,0.560790,0.996277,0.012265,0.006369,-0.085095
1760557513.817324,3,-2.968937,-0.009273,0.023647,-0.009713,-0.016049,0.560593,0.996191,0.012179,0.003600,-0.086268
1760557513.856682,3,-2.969507,-0.014298,0.023412,-0.009719,-0.016045,0.560619,0.996200,0.012276,0.006116,-0.086012
1760557513.884505,3,-2.970070,-0.007622,0.023935,-0.009718,-0.016043,0.560553,0.996242,0.012249,0.002772,-0.085695
1760557513.953308,3,-2.966795,-0.014171,0.023464,-0.009717,-0.016040,0.560455,0.996082,0.012305,0.006034,-0.087362
1760557513.986199,3,-2.970026,-0.012355,0.023500,-0.009718,-0.016052,0.560684,0.996229,0.012236,0.005148,-0.085743
1760557514.023730,3,-2.971096,-0.011329,0.023226,-0.009717,-0.016045,0.560595,0.996280,0.012053,0.004655,-0.085204
1760557514.060133,3,-2.972010,-0.018309,0.022703,-0.009719,-0.016054,0.560696,0.996293,0.012085,0.008160,-0.084784
1760557514.092688,3,-2.970007,-0.015928,0.023044,-0.009720,-0.016048,0.560601,0.996216,0.012161,0.006947,-0.085771
1760557514.159496,3,-2.969686,-0.011822,0.023365,-0.009714,-0.016045,0.560571,0.996217,0.012147,0.004886,-0.085909
1760557514.195892,3,-2.968432,-0.008887,0.023995,-0.009713,-0.016034,0.560362,0.996168,0.012337,0.003389,-0.086518
1760557514.230116,3,-2.970315,-0.010813,0.023524,-0.009717,-0.016047,0.560532,0.996246,0.012181,0.004380,-0.085590
1760557514.262406,3,-2.971160,-0.013828,0.023511,-0.009718,-0.016047,0.560687,0.996272,0.012301,0.005888,-0.085186
1760557514.298106,3,-2.968179,-0.010690,0.023901,-0.009723,-0.016041,0.560524,0.996152,0.012368,0.004290,-0.086654
1760557514.333938,3,-2.968768,-0.011177,0.023668,-0.009718,-0.016050,0.560611,0.996178,0.012272,0.004546,-0.086363
1760557514.368071,3,-2.970434,-0.014037,0.023812,-0.009718,-0.016046,0.560623,0.996238,0.012462,0.005975,-0.085550
1760557514.403122,3,-2.967421,-0.010966,0.023699,-0.009716,-0.016046,0.560589,0.996120,0.012281,0.004431,-0.087033
