ros_time_sec,x,y,z,qx,qy,qz,qw,roll_deg,pitch_deg,yaw_deg
1762189210.338073,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.338073,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.338073,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.388192,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.388192,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.388192,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.388192,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.388192,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.438319,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.438319,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.438319,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.438319,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.438319,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.488533,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.488533,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.488533,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.488533,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.488533,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.538702,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.538702,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.538702,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.538702,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.538702,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.588872,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.588872,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.588872,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.588872,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.588872,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.639022,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.639022,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.639022,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.639022,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.639022,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.689236,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.689236,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.689236,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.689236,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.689236,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.739450,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.739450,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.739450,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.739450,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.739450,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.789679,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.789679,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.789679,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.789679,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.789679,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.839895,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.839895,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.839895,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.839895,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.839895,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.890060,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.890060,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.890060,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.890060,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.890060,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.940194,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.940194,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.940194,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.940194,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.940194,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.990345,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.990345,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.990345,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.990345,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189210.990345,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.040581,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.040581,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.040581,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.040581,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.040581,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.090909,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.090909,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.090909,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.090909,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.090909,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.141136,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.141136,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.141136,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
1762189211.141136,0.486179938,-0.001586136,0.244809748,0.001017644,0.702603394,-0.001303147,0.711579747,-1.72771,89.27229,-1.91577
