ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),tag_qx,tag_qy,tag_qz,tag_qw
1762216275.789501,0.037880573,0.022434567,-0.010687040,-0.000473393,0.000153167,-0.000809287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.979240900,-0.004913107,0.027796482,-0.000214864,-0.015617905,0.555166897,0.996605011,0.014051162,0.001321301,-0.081112707
1762216275.827915,0.030795573,0.026542567,-0.028180040,-0.000209393,0.000160167,-0.000713287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.976372686,-0.002110735,0.027569821,-0.000214674,-0.015610248,0.555094395,0.996493294,0.013824534,-0.000085771,-0.082522667
1762216275.857232,0.053389573,0.026912567,-0.028405040,-0.000596393,-0.000060833,-0.000344287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.977479821,-0.004493373,0.027532116,-0.000213637,-0.015616819,0.555153457,0.996535779,0.013903402,0.001110625,-0.081987213
1762216275.893485,0.068540573,0.012336567,-0.015405040,0.000097607,0.001408167,-0.000424287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.978265607,-0.000343208,0.028182663,-0.000220724,-0.015619560,0.555158412,0.996568225,0.014057902,-0.000978416,-0.081567096
1762216275.929294,0.038327573,0.027383567,-0.027820040,-0.000605393,-0.000272833,-0.001237287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.977911281,-0.004742291,0.027558928,-0.000213387,-0.015616952,0.555139171,0.996552830,0.013926691,0.001236559,-0.081773929
1762216275.961555,0.045620573,0.026725567,-0.018354040,-0.000470393,0.000061167,-0.000601287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.976066256,-0.003660404,0.027598225,-0.000213879,-0.015614140,0.555111590,0.996478444,0.013902706,0.000683046,-0.082685906
1762216276.000606,0.076577573,0.031805567,-0.035856040,-0.000174393,-0.000805833,-0.000773287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.977575006,-0.006105678,0.027641334,-0.000216198,-0.015613235,0.555156408,0.996535878,0.014023770,0.001910178,-0.081950775
1762216276.030644,0.022791573,0.027185567,-0.017719040,-0.000889393,0.000068167,-0.001373287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.976092398,-0.001624096,0.027641106,-0.000219054,-0.015615230,0.555117702,0.996481730,0.013839932,-0.000333119,-0.082658984
1762216276.066782,0.022737573,0.022408567,-0.006583040,0.000185607,-0.000451833,-0.000166287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.977675777,-0.006295548,0.027744411,-0.000218363,-0.015613744,0.555082545,0.996538880,0.014082801,0.002001271,-0.081901950
1762216276.102555,0.023322573,0.018480567,-0.027654040,-0.000204393,-0.000051833,-0.001250287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.976521579,-0.004640373,0.027651006,-0.000213572,-0.015615520,0.555071363,0.996495304,0.013969225,0.001172305,-0.082465729
1762216276.134685,0.068375573,0.011787567,-0.016203040,0.000093607,0.001616167,0.000724713,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.975538756,0.000763443,0.028509526,-0.000222933,-0.015614110,0.555109048,0.996454374,0.014173523,-0.001562498,-0.082917737
1762216276.170484,0.037820573,0.026285567,-0.003415040,-0.000075393,0.000243167,-0.000855287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.977114150,-0.004234618,0.027497697,-0.000220536,-0.015609870,0.555108868,0.996521439,0.013875832,0.000980569,-0.082167645
1762216276.202344,0.045880573,0.010691567,-0.023347040,-0.000316393,-0.000874833,-0.000402287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.979068119,-0.005218177,0.027646366,-0.000219394,-0.015622803,0.555297605,0.996598496,0.013988848,0.001478199,-0.081200775
1762216276.238668,0.053449573,0.034794567,-0.028843040,-0.000201393,0.000153167,-0.000052287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.975114459,-0.003006463,0.027845390,-0.000220052,-0.015614874,0.555119886,0.996438177,0.013998997,0.000340345,-0.083155711
1762216276.270876,0.037938573,0.021777567,-0.016115040,-0.000339393,0.000525167,-0.000034287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.979644977,-0.001683872,0.027970768,-0.000219430,-0.015616889,0.555214176,0.996624631,0.014007194,-0.000292081,-0.080889177
1762216276.307540,0.053033573,0.026905567,-0.018441040,-0.000868393,0.000059167,-0.000357287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.977531475,-0.004607051,0.027885420,-0.000218445,-0.015618611,0.555183661,0.996535231,0.014084068,0.001153148,-0.081962449
1762216276.343378,0.038536573,0.031821567,-0.030195040,-0.000337393,-0.000518833,-0.001665287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.978631463,-0.002644462,0.027786066,-0.000219458,-0.015616627,0.555185205,0.996583740,0.013954089,0.000186994,-0.081400848
1762216276.375654,0.076124573,0.018950567,-0.019079040,-0.000034393,-0.001039833,0.000131713,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.974859767,0.000212189,0.027793504,-0.000219992,-0.015615884,0.555079667,0.996430924,0.013839210,-0.001262860,-0.083260401
1762216276.412180,0.023147573,0.027192567,-0.027683040,-0.000617393,-0.000052833,-0.001361287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.975661581,-0.003433489,0.027952994,-0.000217209,-0.015605733,0.555052135,0.996459543,0.014070202,0.000552473,-0.082886085
1762216276.445377,0.030485573,0.043321567,-0.018904040,-0.000094393,0.000056167,-0.000540287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.976910074,0.000179516,0.028245179,-0.000217670,-0.015616311,0.555109526,0.996512587,0.014066891,-0.001250965,-0.082238809
1762216276.513697,0.060517573,0.026694567,-0.014084040,-0.000596393,-0.000105833,0.000279713,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.976080085,-0.002691108,0.027917733,-0.000219438,-0.015615849,0.555154419,0.996478108,0.014021845,0.000186991,-0.082672446
1762216276.548084,0.061023573,0.041145567,-0.021370040,-0.000197393,-0.001721833,-0.001023287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.975898207,-0.003085085,0.027868182,-0.000217981,-0.015611827,0.555093756,0.996470422,0.014013470,0.000384060,-0.082765771
1762216276.583722,0.083849573,0.022622567,-0.016618040,0.000505607,-0.000789833,-0.000034287,0.434196180,-0.001415642,0.244113823,0.001017730,0.702662221,-0.001303040,0.711521658,1,3,-2.974991030,-0.005760427,0.027563069,-0.000214395,-0.015614297,0.555121005,0.996430423,0.013972879,0.001723305,-0.083235816
