ros_time_sec,fx,fy,fz
1760557512.261458,-0.087959053,-0.020250660,-0.032073733
1760557512.263468,-0.042301053,-0.045442660,-0.022503733
1760557512.265464,-0.042504053,-0.025075660,-0.024196733
1760557512.267465,-0.104030053,-0.017088660,-0.048961733
1760557512.269497,-0.042959053,-0.010251660,-0.037373733
1760557512.271476,-0.096643053,0.003285340,-0.055586733
1760557512.273491,-0.081012053,-0.005912660,-0.036563733
1760557512.275493,-0.103879053,-0.007226660,-0.045416733
1760557512.277505,-0.027498053,-0.028890660,-0.032563733
1760557512.279492,-0.020335053,-0.007419660,-0.049471733
1760557512.281489,-0.042828053,-0.016290660,-0.034261733
1760557512.283470,-0.050128053,-0.028885660,-0.021291733
1760557512.285532,-0.119073053,-0.001705660,-0.043461733
1760557512.287476,-0.057981053,-0.020761660,-0.042016733
1760557512.289506,-0.050195053,-0.020763660,-0.027204733
1760557512.291481,-0.049871053,-0.032918660,-0.025296733
1760557512.293494,-0.035154053,-0.037311660,-0.037052733
1760557512.295501,-0.043088053,-0.024341660,-0.043423733
1760557512.297501,-0.042458053,-0.025187660,-0.024547733
1760557512.299504,-0.035000053,-0.020130660,-0.026939733
1760557512.301494,-0.057890053,-0.016807660,-0.029193733
1760557512.303492,-0.035028053,-0.021015660,-0.027194733
1760557512.305514,-0.050432053,-0.009365660,-0.038796733
1760557512.307508,-0.035136053,-0.023795660,-0.029409733
1760557512.309557,-0.080884053,-0.005164660,-0.035864733
1760557512.311560,-0.042456053,-0.020830660,-0.022042733
1760557512.313526,-0.027516053,-0.010005660,-0.036571733
1760557512.315500,-0.042755053,-0.025852660,-0.029081733
1760557512.317530,-0.096092053,-0.002059660,-0.043752733
1760557512.319597,-0.096167053,-0.011371660,-0.038666733
1760557512.321615,-0.042520053,-0.024709660,-0.018956733
1760557512.323511,-0.034822053,-0.020126660,-0.021957733
1760557512.325523,-0.050417053,-0.012116660,-0.036825733
1760557512.327514,-0.050297053,-0.017432660,-0.029491733
1760557512.329523,-0.019950053,-0.011516660,-0.037124733
1760557512.331509,-0.035008053,-0.003142660,-0.017046733
1760557512.333555,-0.057596053,-0.024858660,-0.029669733
1760557512.335541,-0.058376053,0.008506340,-0.048441733
1760557512.337542,-0.080971053,-0.003596660,-0.041832733
1760557512.339544,-0.042503053,-0.011370660,-0.021314733
1760557512.341559,-0.035062053,-0.028188660,-0.037378733
1760557512.343591,-0.042594053,-0.027056660,-0.027302733
1760557512.345567,-0.073190053,-0.004130660,-0.036003733
1760557512.347535,-0.042506053,-0.036984660,-0.027363733
1760557512.349625,-0.111467053,-0.005257660,-0.051789733
1760557512.351535,-0.118658053,-0.015073660,-0.036603733
1760557512.353551,-0.111512053,-0.001775660,-0.043281733
1760557512.355556,-0.035029053,-0.025373660,-0.029699733
1760557512.357559,-0.042962053,-0.017570660,-0.043942733
1760557512.359567,-0.012346053,-0.024595660,-0.034809733
1760557512.361561,-0.065282053,0.005243340,-0.016628733
1760557512.363569,-0.042433053,-0.019312660,-0.026420733
1760557512.365576,-0.119265053,0.003013340,-0.040698733
1760557512.367573,-0.050246053,-0.041275660,-0.035030733
1760557512.369574,-0.081029053,0.004612340,-0.046599733
1760557512.371571,-0.034872053,-0.028729660,-0.026616733
1760557512.373598,-0.065190053,-0.037938660,-0.032253733
1760557512.375611,-0.012214053,-0.024479660,-0.029477733
1760557512.377600,-0.050478053,-0.010650660,-0.036886733
1760557512.379590,-0.089138053,0.012588340,-0.055824733
1760557512.381606,-0.050157053,-0.024781660,-0.023674733
1760557512.383576,-0.012059053,0.010587340,-0.023977733
1760557512.385604,-0.012109053,-0.024261660,-0.030051733
1760557512.387605,-0.012038053,-0.028833660,-0.027000733
1760557512.389596,-0.034844053,-0.037191660,-0.026738733
1760557512.391606,-0.050481053,-0.019365660,-0.041897733
1760557512.393603,-0.027441053,-0.020376660,-0.036759733
1760557512.395634,-0.050108053,-0.025701660,-0.029392733
1760557512.397615,-0.096258053,-0.010159660,-0.043616733
1760557512.399606,-0.027287053,-0.012543660,-0.027022733
1760557512.401626,-0.073072053,-0.013805660,-0.031174733
1760557512.403607,-0.096135053,0.016115340,-0.038014733
1760557512.405658,-0.119145053,-0.007645660,-0.051238733
1760557512.407628,-0.065722053,-0.032603660,-0.050345733
1760557512.409625,-0.050629053,-0.025269660,-0.044210733
1760557512.411624,-0.027473053,-0.019645660,-0.026280733
1760557512.413658,-0.088118053,-0.025432660,-0.030165733
1760557512.415645,-0.065489053,-0.027459660,-0.036696733
1760557512.417637,-0.050317053,-0.023985660,-0.029547733
1760557512.419641,-0.042544053,-0.008693660,-0.039193733
1760557512.421635,-0.057859053,-0.008191660,-0.039296733
1760557512.423634,-0.065225053,-0.003141660,-0.021861733
1760557512.425636,-0.080337053,-0.024979660,-0.029987733
1760557512.427620,-0.035000053,-0.025296660,-0.034811733
1760557512.429637,-0.027337053,-0.025327660,-0.024186733
1760557512.431648,-0.073250053,-0.013808660,-0.036156733
1760557512.433663,-0.020054053,-0.016724660,-0.034421733
1760557512.435644,-0.035204053,-0.016661660,-0.029670733
1760557512.437657,-0.020406053,-0.013182660,-0.047246733
1760557512.439655,-0.020146053,-0.002971660,-0.040838733
1760557512.441639,-0.027337053,-0.025327660,-0.024186733
1760557512.443671,-0.042606053,-0.015590660,-0.024263733
1760557512.445655,-0.034973053,-0.019244660,-0.026684733
1760557512.447670,-0.034870053,-0.024372660,-0.024111733
1760557512.449652,-0.035123053,-0.029506660,-0.031502733
1760557512.451658,-0.012024053,-0.037738660,-0.027249733
1760557512.453665,-0.042638053,-0.037100660,-0.032695733
1760557512.455671,-0.034875053,-0.004011660,-0.027081733
1760557512.457666,-0.065282053,-0.040907660,-0.029707733
1760557512.459656,-0.089032053,0.016176340,-0.048241733
1760557512.461660,-0.088973053,0.012325340,-0.040969733
1760557512.463701,-0.034882053,-0.020457660,-0.021734733
1760557512.465661,-0.049904053,-0.032363660,-0.024817733
1760557512.467663,-0.050239053,-0.016293660,-0.024348733
1760557512.469744,-0.042506053,-0.032802660,-0.034858733
1760557512.471702,-0.050539053,-0.015338660,-0.039168733
1760557512.473714,-0.035170053,-0.036945660,-0.031813733
1760557512.475684,-0.057711053,-0.003099660,-0.021330733
1760557512.477714,-0.042841053,-0.012551660,-0.041884733
1760557512.479692,-0.019938053,-0.028960660,-0.032383733
1760557512.481730,-0.027237053,-0.037374660,-0.026908733
1760557512.483699,-0.004415053,-0.019857660,-0.022033733
1760557512.485711,-0.103894053,-0.010054660,-0.038333733
1760557512.487710,-0.050287053,-0.016357660,-0.033997733
1760557512.489730,-0.073360053,-0.003013660,-0.038928733
1760557512.491724,-0.027322053,-0.020527660,-0.021553733
1760557512.493737,-0.088240053,-0.011756660,-0.031469733
1760557512.495717,-0.019996053,-0.011404660,-0.036773733
1760557512.497703,-0.119124053,-0.013681660,-0.035258733
1760557512.499719,-0.119013053,-0.001375660,-0.043685733
1760557512.501716,-0.096449053,-0.000270660,-0.054000733
1760557512.503707,-0.065169053,-0.019077660,-0.027757733
1760557512.505729,-0.118817053,0.010171340,-0.040776733
1760557512.507741,-0.035209053,-0.020387660,-0.036809733
1760557512.509770,-0.104080053,0.017089340,-0.048698733
1760557512.511744,-0.103842053,0.001921340,-0.046537733
1760557512.513735,-0.035067053,0.000708340,-0.024318733
1760557512.515806,-0.058069053,-0.026335660,-0.044552733
1760557512.517776,-0.019789053,-0.024852660,-0.029785733
1760557512.519747,-0.035028053,-0.021015660,-0.027194733
1760557512.521754,-0.034851053,-0.025370660,-0.024717733
1760557512.523810,-0.041971053,-0.029422660,-0.011756733
1760557512.525829,-0.050124053,-0.025336660,-0.024153733
1760557512.527771,-0.050157053,-0.032332660,-0.024336733
1760557512.529748,-0.042918053,-0.020243660,-0.047083733
1760557512.531743,-0.065187053,-0.029223660,-0.027243733
1760557512.533765,-0.050033053,-0.014416660,-0.024763733
1760557512.535752,-0.057935053,-0.025055660,-0.034871733
1760557512.537787,-0.027707053,-0.019799660,-0.042057733
1760557512.539778,-0.012301053,-0.028889660,-0.027665733
1760557512.541806,-0.126511053,-0.001606660,-0.039455733
1760557512.543755,-0.042403053,-0.032764660,-0.024413733
1760557512.545785,-0.080223053,-0.036406660,-0.022582733
1760557512.547770,-0.134012053,0.001986340,-0.041703733
1760557512.549784,-0.111592053,-0.024161660,-0.045710733
1760557512.551768,-0.088602053,-0.001738660,-0.039127733
1760557512.553798,-0.012041053,-0.041730660,-0.024515733
1760557512.555782,-0.050255053,-0.013719660,-0.036319733
1760557512.557773,-0.050126053,-0.033063660,-0.034815733
1760557512.559783,-0.042513053,-0.008264660,-0.024303733
1760557512.561773,-0.042516053,-0.016979660,-0.029314733
1760557512.563782,-0.065915053,-0.001416660,-0.029603733
1760557512.565773,-0.027691053,-0.020977660,-0.031644733
1760557512.567775,-0.004903053,-0.019980660,-0.037329733
1760557512.569780,-0.088959053,0.016949340,-0.048337733
1760557512.571791,-0.034705053,-0.023823660,-0.024909733
1760557512.573790,-0.111672053,0.003200340,-0.056649733
1760557512.575819,-0.065672053,-0.000539660,-0.038333733
1760557512.577793,-0.057821053,-0.036482660,-0.027466733
1760557512.579796,-0.058040053,-0.013541660,-0.041131733
1760557512.581787,-0.104258053,-0.007763660,-0.056653733
1760557512.583794,-0.072977053,0.000663340,-0.034647733
1760557512.585789,-0.050245053,-0.016826660,-0.033330733
1760557512.587792,-0.088549053,-0.004324660,-0.041122733
1760557512.589783,-0.042631053,-0.007937660,-0.029509733
1760557512.591814,-0.103878053,-0.004265660,-0.041353733
1760557512.593790,-0.042963053,-0.019955660,-0.036731733
1760557512.595816,-0.027513053,-0.020973660,-0.026662733
1760557512.597810,-0.012051053,-0.029276660,-0.027128733
1760557512.599831,-0.119274053,0.000954340,-0.051560733
1760557512.601811,-0.034892053,-0.041437660,-0.028892733
1760557512.603820,-0.027680053,-0.015544660,-0.033645733
1760557512.605838,-0.118825053,-0.019979660,-0.038311733
1760557512.607830,-0.049977053,-0.019608660,-0.031840733
1760557512.609816,-0.050146053,-0.012160660,-0.022544733
1760557512.611851,-0.043129053,-0.029039660,-0.051963733
1760557512.613853,-0.027472053,-0.018657660,-0.031932733
1760557512.615850,-0.119174053,0.015330340,-0.042867733
1760557512.617926,-0.088535053,0.018407340,-0.036540733
1760557512.619848,-0.042476053,-0.033537660,-0.024317733
1760557512.621827,-0.042256053,-0.049912660,-0.025359733
1760557512.623849,-0.035583053,-0.007664660,-0.053000733
1760557512.625842,-0.012051053,-0.029276660,-0.027128733
1760557512.627840,-0.004640053,-0.033454660,-0.029545733
1760557512.629852,-0.050334053,-0.023796660,-0.034308733
1760557512.631850,-0.027469053,-0.025443660,-0.029518733
1760557512.633854,-0.051302053,-0.005038660,-0.046437733
1760557512.635870,-0.034948053,-0.028871660,-0.031154733
1760557512.637853,-0.004787053,-0.029023660,-0.037134733
1760557512.639870,-0.080399053,-0.024501660,-0.024396733
1760557512.641865,-0.034587053,-0.025138660,-0.014052733
1760557512.643897,-0.034796053,-0.032946660,-0.024584733
1760557512.645848,-0.057916053,-0.003988660,-0.026566733
1760557512.647884,-0.065984053,-0.014363660,-0.051529733
1760557512.649865,-0.111260053,-0.009358660,-0.044424733
1760557512.651891,-0.042547053,-0.016248660,-0.018834733
1760557512.653928,-0.035164053,-0.017306660,-0.039003733
1760557512.655880,-0.027270053,-0.036818660,-0.026430733
1760557512.657877,-0.050373053,-0.020767660,-0.032185733
1760557512.659875,-0.019961053,-0.004232660,-0.026589733
1760557512.661878,-0.050096053,-0.020092660,-0.021393733
1760557512.663876,-0.019715053,-0.020709660,-0.021724733
1760557512.665867,-0.072465053,-0.020572660,-0.016987733
1760557512.667881,-0.019731053,-0.029867660,-0.026861733
1760557512.669902,-0.042594053,-0.019505660,-0.026641733
1760557512.671894,-0.049971053,-0.020872660,-0.022573733
1760557512.673904,-0.035353053,-0.003871660,-0.031230733
1760557512.675898,-0.057714053,-0.021162660,-0.026717733
1760557512.677910,-0.012425053,-0.023928660,-0.033980733
1760557512.679900,-0.035357053,-0.020137660,-0.036902733
1760557512.681906,-0.050472053,0.004807340,-0.036581733
