ros_time_sec,tag_id,roll(rad),pitch(rad),yaw(rad),tx(m),ty(m),tz(m),q_x,q_y,q_z,q_w
1762189210.359416,3,-2.974208,-0.002846,0.027561,-0.000146,-0.015766,0.558157,0.996403,0.013851,0.000266,-0.083606
1762189210.395150,3,-2.973600,0.000540,0.027875,-0.000149,-0.015769,0.558128,0.996378,0.013865,-0.001439,-0.083886
1762189210.428680,3,-2.973749,-0.003122,0.027703,-0.000151,-0.015769,0.558124,0.996382,0.013933,0.000394,-0.083837
1762189210.459497,3,-2.973141,-0.000206,0.027956,-0.000149,-0.015775,0.558168,0.996358,0.013937,-0.001073,-0.084120
1762189210.495260,3,-2.972516,0.000123,0.027807,-0.000147,-0.015764,0.558094,0.996333,0.013848,-0.001235,-0.084428
1762189210.531246,3,-2.974397,-0.004954,0.027178,-0.000144,-0.015764,0.558106,0.996410,0.013748,0.001333,-0.083526
1762189210.563926,3,-2.975711,-0.000955,0.027747,-0.000150,-0.015774,0.558202,0.996466,0.013865,-0.000674,-0.082845
1762189210.599435,3,-2.972227,-0.000584,0.027794,-0.000150,-0.015768,0.558156,0.996320,0.013871,-0.000884,-0.084577
1762189210.638743,3,-2.974649,-0.000518,0.027785,-0.000145,-0.015768,0.558208,0.996422,0.013865,-0.000900,-0.083370
1762189210.668903,3,-2.974391,-0.003072,0.027527,-0.000144,-0.015773,0.558176,0.996410,0.013843,0.000381,-0.083517
1762189210.704300,3,-2.973995,-0.001034,0.027676,-0.000146,-0.015766,0.558095,0.996395,0.013832,-0.000643,-0.083700
1762189210.735130,3,-2.972192,0.004599,0.028409,-0.000150,-0.015765,0.558030,0.996315,0.013958,-0.003493,-0.084558
1762189210.771725,3,-2.973929,-0.002410,0.027642,-0.000147,-0.015771,0.558161,0.996391,0.013873,0.000043,-0.083742
1762189210.808619,3,-2.974274,-0.002142,0.027664,-0.000153,-0.015769,0.558138,0.996405,0.013873,-0.000089,-0.083568
1762189210.840046,3,-2.974444,0.001028,0.028104,-0.000151,-0.015773,0.558230,0.996412,0.013959,-0.001685,-0.083462
1762189210.876588,3,-2.971887,0.000542,0.027739,-0.000149,-0.015762,0.558078,0.996307,0.013796,-0.001445,-0.084739
1762189210.907852,3,-2.974040,0.000165,0.028213,-0.000151,-0.015770,0.558198,0.996394,0.014050,-0.001263,-0.083669
1762189210.944536,3,-2.975031,-0.004002,0.027746,-0.000145,-0.015766,0.558122,0.996434,0.013991,0.000840,-0.083204
1762189210.979416,3,-2.974178,-0.000635,0.027749,-0.000148,-0.015772,0.558239,0.996402,0.013852,-0.000844,-0.083606
1762189211.012428,3,-2.974495,0.000241,0.028082,-0.000149,-0.015770,0.558223,0.996414,0.013982,-0.001292,-0.083442
1762189211.050345,3,-2.973652,-0.004591,0.027473,-0.000147,-0.015771,0.558092,0.996377,0.013880,0.001135,-0.083895
1762189211.085804,3,-2.975442,-0.002726,0.027504,-0.000147,-0.015769,0.558193,0.996454,0.013817,0.000217,-0.082991
1762189211.119588,3,-2.972934,-0.000136,0.027822,-0.000146,-0.015765,0.558047,0.996350,0.013867,-0.001104,-0.084222
1762189211.156360,3,-2.973751,-0.001741,0.027761,-0.000148,-0.015771,0.558236,0.996383,0.013904,-0.000296,-0.083826
1762189211.189821,3,-2.974278,0.000394,0.027967,-0.000148,-0.015768,0.558082,0.996406,0.013918,-0.001365,-0.083549
1762189211.221127,3,-2.972297,-0.000490,0.028114,-0.000150,-0.015768,0.558084,0.996321,0.014027,-0.000944,-0.084542
1762189211.257584,3,-2.974073,-0.002173,0.027410,-0.000146,-0.015768,0.558201,0.996399,0.013748,-0.000064,-0.083669
1762189211.289544,3,-2.974586,0.001140,0.027728,-0.000148,-0.015766,0.558099,0.996420,0.013768,-0.001724,-0.083390
1762189211.326101,3,-2.972789,-0.002725,0.027749,-0.000143,-0.015769,0.558169,0.996342,0.013940,0.000188,-0.084312
1762189211.362642,3,-2.971377,-0.001829,0.027988,-0.000150,-0.015762,0.557955,0.996281,0.014021,-0.000279,-0.085009
1762189211.394727,3,-2.973586,-0.002715,0.027797,-0.000146,-0.015768,0.558142,0.996375,0.013963,0.000187,-0.083915
1762189211.429401,3,-2.972473,0.000767,0.028047,-0.000148,-0.015763,0.558084,0.996329,0.013940,-0.001566,-0.084445
1762189211.464994,3,-2.973133,-0.002034,0.027455,-0.000144,-0.015768,0.558098,0.996359,0.013764,-0.000142,-0.084136
1762189211.496823,3,-2.974444,-0.000363,0.028025,-0.000147,-0.015766,0.558132,0.996412,0.013978,-0.000989,-0.083471
1762189211.533415,3,-2.972528,-0.001772,0.028039,-0.000149,-0.015766,0.558047,0.996330,0.014044,-0.000301,-0.084436
1762189211.570719,3,-2.973073,-0.000003,0.027798,-0.000153,-0.015768,0.558072,0.996356,0.013849,-0.001168,-0.084152
1762189211.603892,3,-2.975472,0.000786,0.027896,-0.000150,-0.015770,0.558206,0.996456,0.013867,-0.001549,-0.082951
1762189211.668241,3,-2.974446,0.001302,0.027899,-0.000151,-0.015771,0.558133,0.996413,0.013846,-0.001813,-0.083459
1762189211.704505,3,-2.973363,0.001882,0.028364,-0.000150,-0.015766,0.558105,0.996365,0.014052,-0.002129,-0.083994
1762189211.741854,3,-2.973587,-0.002386,0.027632,-0.000147,-0.015763,0.558058,0.996377,0.013867,0.000030,-0.083913
1762189211.776179,3,-2.976091,-0.003184,0.027619,-0.000146,-0.015769,0.558179,0.996480,0.013894,0.000445,-0.082670
1762189211.814394,3,-2.971472,0.003067,0.028284,-0.000150,-0.015763,0.558067,0.996286,0.013960,-0.002729,-0.084927
1762189211.845226,3,-2.972180,-0.001669,0.027545,-0.000146,-0.015772,0.558149,0.996319,0.013793,-0.000334,-0.084609
1762189211.878014,3,-2.974321,-0.001415,0.027523,-0.000149,-0.015775,0.558221,0.996409,0.013772,-0.000444,-0.083540
1762189211.946006,3,-2.973441,0.000424,0.028022,-0.000148,-0.015766,0.558085,0.996370,0.013943,-0.001388,-0.083966
1762189211.982041,3,-2.973766,-0.001230,0.027650,-0.000148,-0.015767,0.558154,0.996385,0.013827,-0.000546,-0.083815
1762189212.017182,3,-2.973196,-0.001612,0.027739,-0.000145,-0.015766,0.558085,0.996360,0.013888,-0.000363,-0.084102
1762189212.050823,3,-2.974274,0.004241,0.027919,-0.000147,-0.015768,0.558174,0.996406,0.013733,-0.003280,-0.083524
1762189212.119718,3,-2.970816,-0.003134,0.027489,-0.000147,-0.015755,0.557940,0.996259,0.013828,0.000389,-0.085298
1762189212.153239,3,-2.975797,-0.003712,0.027216,-0.000146,-0.015773,0.558220,0.996470,0.013714,0.000723,-0.082820
1762189212.190469,3,-2.974627,-0.003552,0.027469,-0.000148,-0.015771,0.558146,0.996420,0.013834,0.000624,-0.083402
1762189212.222710,3,-2.973021,-0.002496,0.027527,-0.000144,-0.015767,0.558147,0.996353,0.013819,0.000085,-0.084195
1762189212.260128,3,-2.972962,-0.002246,0.027356,-0.000148,-0.015771,0.558209,0.996352,0.013724,-0.000033,-0.084223
1762189212.296253,3,-2.972773,-0.002808,0.027473,-0.000146,-0.015765,0.558154,0.996343,0.013805,0.000241,-0.084321
1762189212.361113,3,-2.972231,-0.001030,0.027598,-0.000148,-0.015768,0.558104,0.996321,0.013793,-0.000654,-0.084579
1762189212.395736,3,-2.974428,-0.000990,0.027758,-0.000145,-0.015768,0.558099,0.996412,0.013872,-0.000665,-0.083484
1762189212.427869,3,-2.976043,-0.001765,0.027581,-0.000146,-0.015770,0.558204,0.996480,0.013816,-0.000261,-0.082684
1762189212.463892,3,-2.974230,-0.002390,0.027761,-0.000147,-0.015769,0.558154,0.996403,0.013931,0.000030,-0.083592
