ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m)
1762811129.368793,-0.007104613,-0.037223740,-0.012756580,0.000738167,0.002348700,0.000531420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975517430,0.001229819,0.023413530,-0.004605149,-0.015049996,0.555142765
1762811129.370801,0.022382387,-0.005637740,-0.002171580,-0.000215833,0.000511700,0.001520420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.976536187,0.001634001,0.023348989,-0.004598863,-0.015046952,0.555088742
1762811129.372800,0.007527387,-0.009443740,0.001048420,0.000318167,0.000114700,0.000305420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.976536187,0.001634001,0.023348989,-0.004598863,-0.015046952,0.555088742
1762811129.374801,-0.022491613,-0.004106740,-0.010732580,0.000028167,-0.000465300,-0.000766580,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.976536187,0.001634001,0.023348989,-0.004598863,-0.015046952,0.555088742
1762811129.376812,-0.007949613,-0.001760740,0.010711420,0.000428167,0.000669700,0.000461420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.976536187,0.001634001,0.023348989,-0.004598863,-0.015046952,0.555088742
1762811129.378823,0.022533387,0.003639260,0.008377420,0.000316167,-0.000232300,-0.000113580,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.976536187,0.001634001,0.023348989,-0.004598863,-0.015046952,0.555088742
1762811129.380816,0.015119387,-0.004902740,-0.006525580,-0.000082833,0.000022700,0.000503420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.976536187,0.001634001,0.023348989,-0.004598863,-0.015046952,0.555088742
1762811129.382847,-0.007947613,-0.000595740,0.006362420,-0.000240833,0.000178700,-0.000320580,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.976536187,0.001634001,0.023348989,-0.004598863,-0.015046952,0.555088742
1762811129.384840,-0.015216613,-0.018103740,-0.003623580,0.000040167,0.000492700,0.000410420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.976536187,0.001634001,0.023348989,-0.004598863,-0.015046952,0.555088742
1762811129.386829,-0.015094613,-0.005534740,-0.006343580,0.000298167,0.000461700,0.000265420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.388804,-0.007755613,-0.000149740,0.001253420,-0.000103833,-0.000320300,-0.000319580,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.390832,-0.015532613,-0.009407740,0.015296420,0.000699167,-0.000368300,0.000681420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.392873,0.030330387,-0.019148740,0.006697420,0.000612167,0.001275700,0.000039420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.394842,0.068785387,-0.015057740,-0.018133580,-0.000288833,-0.001867300,-0.000641580,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.396858,0.015651387,-0.013431740,-0.026460580,0.000065167,-0.000001300,0.001005420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.398841,-0.007620613,0.003515260,-0.001217580,0.000161167,0.000087700,-0.000357580,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.400852,0.015294387,-0.017795740,-0.013992580,-0.000068833,0.000148700,0.001045420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.402891,-0.022982613,-0.009575740,0.001416420,-0.000109833,0.000554700,0.000048420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.404846,-0.015245613,-0.013999740,-0.001240580,0.000170167,0.000522700,0.000361420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.406872,0.007645387,-0.003616740,-0.006376580,-0.000085833,-0.001068300,-0.000145580,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.408835,0.045561387,-0.037634740,0.004226420,0.000109167,-0.000942300,0.000001420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
1762811129.410846,0.014817387,-0.009292740,0.005147420,0.000185167,-0.000273300,0.001312420,0.447709477,-0.000021627,0.207816401,0.000022714,0.725006967,-0.000095290,0.688741525,1,3,-2.975591590,0.000000365,0.023130599,-0.004601185,-0.015057987,0.555123363
