ros_time_sec,tag_id,roll(rad),pitch(rad),yaw(rad),tx(m),ty(m),tz(m),q_x,q_y,q_z,q_w
1760564014.408561,3,-2.967762,-0.015987,0.023091,-0.009214,-0.016190,0.561820,0.996119,0.012195,0.006961,-0.086890
1760564014.440466,3,-2.971184,-0.011958,0.023413,-0.009213,-0.016196,0.561935,0.996280,0.012173,0.004961,-0.085164
1760564014.477301,3,-2.970166,-0.011686,0.023681,-0.009217,-0.016193,0.561868,0.996236,0.012297,0.004807,-0.085670
1760564014.512334,3,-2.968024,-0.015725,0.023171,-0.009214,-0.016188,0.561768,0.996131,0.012223,0.006828,-0.086758
1760564014.545737,3,-2.971631,-0.012912,0.023390,-0.009214,-0.016190,0.561923,0.996296,0.012200,0.005439,-0.084946
1760564014.580909,3,-2.969694,-0.015251,0.023524,-0.009215,-0.016190,0.561844,0.996203,0.012373,0.006587,-0.085924
1760564014.612150,3,-2.971276,-0.014933,0.023263,-0.009213,-0.016193,0.561945,0.996274,0.012224,0.006450,-0.085134
1760564014.647761,3,-2.968878,-0.017705,0.022852,-0.009212,-0.016191,0.561814,0.996161,0.012146,0.007834,-0.086342
1760564014.684770,3,-2.970526,-0.015620,0.023086,-0.009214,-0.016187,0.561847,0.996240,0.012167,0.006795,-0.085511
1760564014.717381,3,-2.968474,-0.015362,0.023362,-0.009210,-0.016188,0.561809,0.996151,0.012300,0.006642,-0.086532
1760564014.752704,3,-2.971100,-0.015140,0.023125,-0.009219,-0.016193,0.561905,0.996266,0.012165,0.006557,-0.085222
1760564014.784307,3,-2.971075,-0.012595,0.023784,-0.009220,-0.016193,0.561915,0.996271,0.012385,0.005261,-0.085222
1760564014.820116,3,-2.971094,-0.013596,0.023308,-0.009216,-0.016196,0.562001,0.996271,0.012190,0.005780,-0.085217
1760564014.855685,3,-2.969339,-0.014467,0.023583,-0.009211,-0.016190,0.561857,0.996191,0.012370,0.006192,-0.086097
1760564014.887756,3,-2.972624,-0.015385,0.023220,-0.009214,-0.016194,0.562004,0.996329,0.012217,0.006685,-0.084465
1760564014.923897,3,-2.971017,-0.013943,0.023530,-0.009216,-0.016197,0.561923,0.996265,0.012316,0.005944,-0.085258
1760564014.960512,3,-2.968115,-0.018217,0.023088,-0.009208,-0.016182,0.561818,0.996124,0.012289,0.008073,-0.086725
1760564014.992635,3,-2.969124,-0.010211,0.023712,-0.009217,-0.016189,0.561851,0.996196,0.012251,0.004065,-0.086181
1760564015.028144,3,-2.971896,-0.016439,0.023264,-0.009216,-0.016192,0.561911,0.996293,0.012286,0.007204,-0.084833
1760564015.066447,3,-2.971089,-0.012967,0.023695,-0.009221,-0.016194,0.561927,0.996271,0.012356,0.005450,-0.085217
1760564015.099245,3,-2.968999,-0.011205,0.023838,-0.009215,-0.016189,0.561823,0.996187,0.012357,0.004554,-0.086249
1760564015.135039,3,-2.969831,-0.008849,0.023691,-0.009216,-0.016185,0.561813,0.996230,0.012181,0.003392,-0.085820
1760564015.170459,3,-2.969337,-0.009545,0.023890,-0.009215,-0.016185,0.561840,0.996206,0.012311,0.003727,-0.086071
1760564015.206299,3,-2.971277,-0.013687,0.023880,-0.009220,-0.016195,0.561944,0.996275,0.012478,0.005803,-0.085128
1760564015.240892,3,-2.969331,-0.012204,0.023882,-0.009215,-0.016190,0.561873,0.996197,0.012421,0.005052,-0.086089
1760564015.271074,3,-2.970719,-0.014801,0.023444,-0.009218,-0.016194,0.561936,0.996249,0.012310,0.006373,-0.085411
1760564015.306722,3,-2.970770,-0.012424,0.023396,-0.009215,-0.016193,0.561884,0.996261,0.012185,0.005191,-0.085372
1760564015.342513,3,-2.971333,-0.015284,0.023280,-0.009213,-0.016194,0.561933,0.996274,0.012247,0.006624,-0.085107
1760564015.374485,3,-2.969725,-0.013879,0.023449,-0.009217,-0.016189,0.561906,0.996210,0.012276,0.005907,-0.085901
1760564015.410635,3,-2.970985,-0.011458,0.023865,-0.009217,-0.016192,0.561911,0.996271,0.012377,0.004691,-0.085261
1760564015.447394,3,-2.970170,-0.012330,0.023532,-0.009221,-0.016194,0.561896,0.996235,0.012250,0.005135,-0.085671
1760564015.479169,3,-2.970228,-0.010588,0.023795,-0.009217,-0.016189,0.561884,0.996242,0.012307,0.004256,-0.085633
1760564015.515337,3,-2.969979,-0.011063,0.023822,-0.009214,-0.016192,0.561911,0.996229,0.012341,0.004490,-0.085760
1760564015.554948,3,-2.972139,-0.009786,0.023903,-0.009216,-0.016195,0.561970,0.996325,0.012322,0.003864,-0.084677
1760564015.617264,3,-2.970915,-0.016662,0.023396,-0.009210,-0.016197,0.561948,0.996250,0.012365,0.007303,-0.085324
1760564015.652578,3,-2.972042,-0.013049,0.023669,-0.009216,-0.016198,0.562036,0.996311,0.012344,0.005499,-0.084743
1760564015.686639,3,-2.967268,-0.014818,0.023237,-0.009213,-0.016187,0.561774,0.996102,0.012219,0.006369,-0.087130
1760564015.721835,3,-2.970139,-0.013676,0.023524,-0.009217,-0.016191,0.561926,0.996229,0.012304,0.005805,-0.085694
1760564015.755329,3,-2.970987,-0.015255,0.023187,-0.009215,-0.016195,0.561963,0.996260,0.012201,0.006611,-0.085280
1760564015.792097,3,-2.971637,-0.014917,0.023483,-0.009214,-0.016198,0.561988,0.996288,0.012332,0.006434,-0.084954
1760564015.826569,3,-2.970095,-0.012304,0.023548,-0.009210,-0.016188,0.561827,0.996232,0.012257,0.005120,-0.085708
1760564015.856711,3,-2.970358,-0.013122,0.023714,-0.009215,-0.016189,0.561844,0.996239,0.012374,0.005522,-0.085583
1760564015.925870,3,-2.966942,-0.012717,0.023258,-0.009213,-0.016184,0.561763,0.996096,0.012139,0.005320,-0.087281
1760564015.961875,3,-2.972377,-0.010976,0.023863,-0.009219,-0.016194,0.562018,0.996331,0.012352,0.004460,-0.084565
1760564015.999763,3,-2.970330,-0.015847,0.023344,-0.009218,-0.016192,0.561916,0.996229,0.012306,0.006896,-0.085610
1760564016.032150,3,-2.968965,-0.013461,0.023486,-0.009212,-0.016187,0.561754,0.996179,0.012279,0.005693,-0.086278
1760564016.068895,3,-2.970672,-0.013443,0.023420,-0.009218,-0.016189,0.561908,0.996253,0.012241,0.005697,-0.085427
1760564016.101805,3,-2.969796,-0.014248,0.023453,-0.009212,-0.016186,0.561843,0.996212,0.012294,0.006091,-0.085868
1760564016.168911,3,-2.968733,-0.013014,0.023835,-0.009212,-0.016188,0.561773,0.996169,0.012434,0.005454,-0.086392
1760564016.205429,3,-2.969809,-0.015665,0.023408,-0.009210,-0.016188,0.561810,0.996207,0.012332,0.006799,-0.085869
1760564016.237996,3,-2.971704,-0.011498,0.023759,-0.009220,-0.016198,0.561951,0.996302,0.012324,0.004720,-0.084903
1760564016.273496,3,-2.969091,-0.012059,0.023728,-0.009214,-0.016187,0.561825,0.996188,0.012339,0.004985,-0.086208
1760564016.306509,3,-2.971479,-0.014881,0.023226,-0.009214,-0.016193,0.561876,0.996283,0.012203,0.006427,-0.085032
1760564016.343088,3,-2.970417,-0.016867,0.023525,-0.009213,-0.016191,0.561849,0.996227,0.012440,0.007396,-0.085573
1760564016.377187,3,-2.972037,-0.015479,0.023597,-0.009211,-0.016200,0.561968,0.996302,0.012411,0.006712,-0.084759
1760564016.409824,3,-2.970874,-0.015077,0.023309,-0.009212,-0.016190,0.561948,0.996256,0.012254,0.006517,-0.085335
1760564016.445588,3,-2.968404,-0.015317,0.023107,-0.009215,-0.016188,0.561825,0.996150,0.012172,0.006630,-0.086566
1760564016.482424,3,-2.969523,-0.017861,0.023019,-0.009210,-0.016188,0.561800,0.996187,0.012233,0.007908,-0.086022
1760564016.514824,3,-2.970053,-0.017652,0.022985,-0.009211,-0.016191,0.561839,0.996211,0.012205,0.007808,-0.085757
1760564016.549939,3,-2.971569,-0.012881,0.023654,-0.009214,-0.016192,0.561936,0.996292,0.012330,0.005413,-0.084978
1760564016.585232,3,-2.971880,-0.014777,0.023473,-0.009213,-0.016192,0.561924,0.996299,0.012320,0.006367,-0.084833
1760564016.616844,3,-2.968435,-0.015436,0.023519,-0.009210,-0.016186,0.561706,0.996148,0.012382,0.006672,-0.086553
1760564016.652584,3,-2.971618,-0.013478,0.023405,-0.009218,-0.016189,0.561961,0.996293,0.012232,0.005721,-0.084956
1760564016.687937,3,-2.968791,-0.013900,0.023519,-0.009212,-0.016185,0.561837,0.996170,0.012315,0.005909,-0.086367
1760564016.720266,3,-2.972077,-0.016340,0.023133,-0.009212,-0.016191,0.561923,0.996302,0.012216,0.007161,-0.084742
1760564016.756243,3,-2.969814,-0.012112,0.023656,-0.009219,-0.016186,0.561885,0.996220,0.012303,0.005018,-0.085848
1760564016.788023,3,-2.969575,-0.012836,0.023305,-0.009214,-0.016187,0.561812,0.996209,0.012160,0.005393,-0.085970
1760564016.825101,3,-2.971410,-0.015964,0.023136,-0.009211,-0.016197,0.561918,0.996276,0.012204,0.006970,-0.085072
1760564016.860446,3,-2.969489,-0.012388,0.023497,-0.009214,-0.016192,0.561877,0.996206,0.012237,0.005161,-0.086011
1760564016.892324,3,-2.970371,-0.013001,0.023422,-0.009217,-0.016190,0.561913,0.996242,0.012223,0.005475,-0.085574
1760564016.928093,3,-2.970900,-0.013193,0.023612,-0.009213,-0.016191,0.561963,0.996262,0.012325,0.005566,-0.085312
1760564016.960592,3,-2.971546,-0.018554,0.022855,-0.009209,-0.016192,0.561875,0.996271,0.012173,0.008272,-0.085017
1760564016.996477,3,-2.971661,-0.016995,0.023351,-0.009212,-0.016192,0.561940,0.996280,0.012354,0.007475,-0.084954
1760564017.032177,3,-2.969310,-0.017044,0.023222,-0.009212,-0.016188,0.561803,0.996180,0.012300,0.007491,-0.086125
1760564017.064427,3,-2.970327,-0.015040,0.023298,-0.009212,-0.016192,0.561855,0.996232,0.012249,0.006496,-0.085607
1760564017.100830,3,-2.970383,-0.017108,0.023208,-0.009210,-0.016185,0.561856,0.996226,0.012292,0.007530,-0.085590
1760564017.136661,3,-2.972332,-0.014385,0.023226,-0.009213,-0.016191,0.561980,0.996321,0.012179,0.006185,-0.084604
1760564017.169130,3,-2.970813,-0.010806,0.023615,-0.009213,-0.016192,0.561911,0.996267,0.012225,0.004376,-0.085343
1760564017.204165,3,-2.972053,-0.017460,0.022946,-0.009214,-0.016198,0.561964,0.996297,0.012170,0.007727,-0.084759
1760564017.240256,3,-2.969930,-0.013841,0.023632,-0.009217,-0.016188,0.561917,0.996218,0.012365,0.005882,-0.085799
1760564017.272284,3,-2.972448,-0.012507,0.023728,-0.009217,-0.016193,0.561938,0.996330,0.012349,0.005229,-0.084538
1760564017.309141,3,-2.969131,-0.015321,0.023307,-0.009209,-0.016189,0.561808,0.996180,0.012269,0.006628,-0.086205
1760564017.344449,3,-2.971892,-0.013725,0.023433,-0.009215,-0.016194,0.561973,0.996304,0.012255,0.005844,-0.084821
1760564017.375901,3,-2.969544,-0.013036,0.023608,-0.009215,-0.016188,0.561898,0.996205,0.012320,0.005479,-0.085987
1760564017.412723,3,-2.969557,-0.012300,0.023578,-0.009221,-0.016195,0.561908,0.996208,0.012273,0.005114,-0.085977
1760564017.444344,3,-2.970301,-0.014595,0.023163,-0.009219,-0.016191,0.561888,0.996234,0.012163,0.006280,-0.085617
1760564017.480894,3,-2.970219,-0.014340,0.023446,-0.009212,-0.016191,0.561867,0.996230,0.012293,0.006140,-0.085658
1760564017.517124,3,-2.973848,-0.014281,0.023101,-0.009217,-0.016196,0.562057,0.996386,0.012107,0.006147,-0.083849
1760564017.549104,3,-2.970778,-0.012303,0.023649,-0.009219,-0.016190,0.561852,0.996260,0.012306,0.005120,-0.085368
1760564017.584680,3,-2.970900,-0.015156,0.023645,-0.009214,-0.016197,0.561955,0.996254,0.012425,0.006542,-0.085324
1760564017.620779,3,-2.971609,-0.014788,0.023561,-0.009212,-0.016191,0.561827,0.996287,0.012365,0.006367,-0.084968
1760564017.652914,3,-2.969876,-0.014586,0.023415,-0.009215,-0.016194,0.561902,0.996214,0.012289,0.006262,-0.085830
1760564017.688295,3,-2.969200,-0.012738,0.023610,-0.009216,-0.016189,0.561852,0.996191,0.012309,0.005329,-0.086157
1760564017.724531,3,-2.971968,-0.016618,0.023250,-0.009216,-0.016190,0.561939,0.996296,0.012286,0.007294,-0.084798
1760564017.756965,3,-2.969444,-0.012672,0.023756,-0.009216,-0.016185,0.561805,0.996201,0.012378,0.005291,-0.086035
1760564017.792209,3,-2.972440,-0.014557,0.023384,-0.009216,-0.016192,0.561978,0.996324,0.012265,0.006264,-0.084552
1760564017.828298,3,-2.971511,-0.014892,0.023497,-0.009213,-0.016189,0.561854,0.996282,0.012338,0.006421,-0.085017
1760564017.860154,3,-2.968910,-0.015317,0.023069,-0.009211,-0.016194,0.561928,0.996172,0.012151,0.006635,-0.086314
