ros_time_sec,fx,fy,fz
1762189210.363572,0.050854587,0.007631487,-0.026448480
1762189210.365586,0.035751587,0.032843487,-0.016896480
1762189210.367588,0.035617587,0.024188487,-0.016553480
1762189210.369547,0.005285587,0.033231487,-0.011543480
1762189210.371590,0.013244587,0.015978487,-0.031316480
1762189210.373569,0.035573587,0.032839487,-0.011914480
1762189210.375581,0.020201587,0.039753487,-0.007329480
1762189210.377650,0.020410587,0.030663487,-0.016822480
1762189210.379651,0.028413587,0.024265487,-0.026336480
1762189210.381613,0.043367587,0.015849487,-0.016833480
1762189210.383627,0.012905587,0.029311487,-0.018995480
1762189210.385582,0.012783587,0.020922487,-0.008780480
1762189210.387548,0.036335587,0.022762487,-0.035746480
1762189210.389562,0.020404587,0.028734487,-0.009399480
1762189210.391587,0.066333587,0.016037487,-0.031782480
1762189210.393557,0.043311587,0.025222487,-0.016414480
1762189210.395573,0.043180587,0.032657487,-0.011744480
1762189210.397605,0.058715587,0.024316487,-0.026835480
1762189210.399576,0.050918587,0.025040487,-0.016244480
1762189210.401577,0.035260587,0.024005487,0.003410520
1762189210.403576,0.058534587,0.008222487,-0.026182480
1762189210.405556,0.065863587,0.036805487,-0.014790480
1762189210.407561,0.020233587,0.044364487,-0.014723480
1762189210.409559,0.043297587,0.024779487,-0.016287480
1762189210.411566,-0.010071413,0.040765487,-0.017086480
1762189210.413561,0.036284587,0.017752487,-0.030517480
1762189210.415565,0.074274587,0.001582487,-0.030857480
1762189210.417587,0.004681587,0.048714487,-0.002366480
1762189210.419595,0.020259587,0.031545487,-0.012096480
1762189210.421582,0.074041587,0.012348487,-0.023899480
1762189210.423620,0.020432587,0.020272487,-0.009277480
1762189210.425592,0.028086587,0.020154487,-0.018756480
1762189210.427619,0.043192587,0.024561487,-0.016861480
1762189210.429583,0.028191587,0.032913487,-0.016715480
1762189210.431601,0.020319587,0.028506487,-0.003715480
1762189210.433627,0.020672587,0.025140487,-0.026541480
1762189210.435616,0.050988587,0.020467487,-0.019295480
1762189210.437591,0.035896587,0.016503487,-0.021317480
1762189210.439601,0.050680587,0.024706487,-0.011486480
1762189210.441658,0.043308587,0.016507487,-0.011404480
1762189210.443621,-0.002484413,0.015334487,-0.016106480
1762189210.445607,0.035882587,0.011879487,-0.028685480
1762189210.447614,0.058350587,0.034966487,-0.014544480
1762189210.449607,0.058802587,0.012003487,-0.033985480
1762189210.451612,0.027932587,0.012321487,-0.009019480
1762189210.453616,-0.009923413,0.031167487,-0.016802480
1762189210.455606,0.028428587,0.029066487,-0.028969480
1762189210.457632,0.036243587,0.029140487,-0.038669480
1762189210.459641,0.012650587,0.029166487,-0.009476480
1762189210.461637,0.028012587,0.032909487,-0.011733480
1762189210.463640,0.035797587,0.032731487,-0.016545480
1762189210.465629,0.027907587,0.032691487,-0.012308480
1762189210.467634,0.035706587,0.029762487,-0.019090480
1762189210.469632,0.042806587,0.028658487,-0.004515480
1762189210.471644,0.066126587,0.020138487,-0.024417480
1762189210.473638,0.058864587,0.015707487,-0.020899480
1762189210.475633,0.020582587,0.005685487,-0.011122480
1762189210.477635,0.028291587,0.011696487,-0.023616480
1762189210.479640,0.020729587,0.016755487,-0.021307480
1762189210.481645,0.074008587,0.009534487,-0.016220480
1762189210.483656,0.104166587,0.006009487,-0.023103480
1762189210.485759,0.050814587,0.033361487,-0.011828480
1762189210.487666,0.027897587,0.022269487,-0.016437480
1762189210.489655,0.028498587,0.016942487,-0.031358480
1762189210.491661,-0.010071413,0.031417487,-0.016709480
1762189210.493648,0.028368587,0.009864487,-0.018438480
1762189210.495654,0.096666587,0.019126487,-0.031233480
1762189210.497646,0.073426587,0.042081487,-0.011824480
1762189210.499662,0.043205587,0.025004487,-0.016989480
1762189210.501651,0.013113587,0.024225487,-0.010993480
1762189210.503650,-0.002081413,0.032128487,-0.026757480
1762189210.505673,0.012966587,0.040562487,-0.027591480
1762189210.507660,0.066249587,0.037066487,-0.029642480
1762189210.509676,0.058077587,0.032626487,-0.007474480
1762189210.511677,0.051091587,0.024687487,-0.022244480
1762189210.513672,0.035677587,0.024519487,-0.016330480
1762189210.515702,0.051244587,0.020788487,-0.038815480
1762189210.517678,0.050451587,0.011742487,0.000659520
1762189210.519695,0.066480587,0.004055487,-0.038709480
1762189210.521687,0.050588587,0.019764487,-0.004316480
1762189210.523685,0.012872587,0.003620487,-0.018059480
1762189210.525675,0.028322587,0.025478487,-0.021386480
1762189210.527666,0.035383587,0.040120487,-0.017467480
1762189210.529682,0.020939587,0.012022487,-0.033306480
1762189210.531675,0.020329587,0.011871487,-0.013823480
1762189210.533690,-0.002718413,0.044795487,-0.009901480
1762189210.535777,0.050829587,0.028814487,-0.014084480
1762189210.537713,0.027612587,0.037372487,-0.004626480
1762189210.539710,0.066389587,0.022978487,-0.019145480
1762189210.541803,0.058385587,0.011489487,-0.014245480
1762189210.543691,-0.009984413,0.023286487,-0.016364480
1762189210.545727,0.028427587,0.024708487,-0.026464480
1762189210.547704,0.035766587,0.020745487,-0.018490480
1762189210.549690,0.043260587,-0.001266513,-0.016369480
