ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),tag_qx,tag_qy,tag_qz,tag_qw
1762210689.900142,0.005151953,-0.021823787,-0.006532453,-0.000208173,-0.000232847,0.000141227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.970209894,-0.005866883,0.027106104,0.000072224,-0.015842217,0.560909732,0.996231547,0.013753890,0.001762487,-0.085617927
1762210689.902145,0.005002953,-0.027904787,0.005780547,0.000463827,0.001009153,0.000595227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.970209894,-0.005866883,0.027106104,0.000072224,-0.015842217,0.560909732,0.996231547,0.013753890,0.001762487,-0.085617927
1762210689.904159,-0.010268047,-0.026706787,0.000867547,-0.000219173,0.000293153,0.000448227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.970209894,-0.005866883,0.027106104,0.000072224,-0.015842217,0.560909732,0.996231547,0.013753890,0.001762487,-0.085617927
1762210689.906132,0.050249953,-0.009934787,0.004515547,0.000076827,-0.000096847,0.001512227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.970209894,-0.005866883,0.027106104,0.000072224,-0.015842217,0.560909732,0.996231547,0.013753890,0.001762487,-0.085617927
1762210689.908140,0.035871953,-0.035772787,-0.018523453,-0.000035173,0.000932153,0.000572227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.970209894,-0.005866883,0.027106104,0.000072224,-0.015842217,0.560909732,0.996231547,0.013753890,0.001762487,-0.085617927
1762210689.910118,0.005475953,-0.033802787,-0.018441453,-0.000460173,-0.000597847,-0.000089773,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.912129,0.027687953,-0.013244787,-0.001991453,-0.000335173,-0.000395847,0.000410227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.914122,0.005077953,-0.032120787,0.003748547,0.000334827,0.001202153,0.000265227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.916153,-0.010430047,-0.017551787,0.000711547,-0.000631173,-0.000145847,0.000332227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.918145,0.035320953,-0.028043787,0.000521547,0.000217827,0.001164153,0.001229227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.920151,-0.025627047,-0.026900787,0.005987547,-0.000367173,0.000573153,0.000319227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.922139,-0.009618047,-0.034749787,-0.008619453,0.000467827,-0.000258847,-0.000196773,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.924138,0.005360953,-0.014015787,-0.017064453,0.000053827,0.000077153,0.000821227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.926140,0.049658953,0.007787213,0.013850547,-0.000617173,-0.000638847,0.001660227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.928150,-0.025687047,-0.027230787,0.005763547,-0.000369173,0.000788153,0.000703227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.930152,-0.017797047,-0.014650787,0.002993547,0.000299827,0.000539153,0.000437227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.932300,-0.002583047,-0.001309787,0.000452547,0.000166827,0.000072153,0.000021227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.934146,0.012627953,-0.005047787,-0.012068453,-0.000488173,-0.000080847,0.000572227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.936261,0.027684953,-0.021960787,0.003019547,-0.000059173,-0.000335847,0.000516227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.938190,0.058166953,-0.041409787,0.003659547,0.000382827,0.001857153,0.001007227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.940176,0.042774953,-0.033097787,0.006364547,-0.000706173,-0.001170847,-0.000378773,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.942158,0.027667953,-0.044646787,0.001038547,-0.000175173,0.001167153,0.001169227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.944796,-0.002885047,-0.031945787,0.013541547,0.000055827,0.001102153,0.000378227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.946167,0.005351953,-0.049509787,-0.001657453,0.000888827,0.001136153,0.001249227,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
1762210689.948178,0.005270953,-0.034691787,-0.013204453,-0.000597173,0.000339153,-0.000085773,0.486127392,-0.001585965,0.244909641,0.001017596,0.702568441,-0.001303207,0.711614257,1,3,-2.974212452,0.000747827,0.027754871,0.000066166,-0.015847031,0.561100668,0.996404438,0.013797167,-0.001532580,-0.083579215
