ros_time_sec,tag_id,roll(rad),pitch(rad),yaw(rad),tx(m),ty(m),tz(m),q_x,q_y,q_z,q_w
1760130277.005729,3,-2.971527,-0.011415,0.019034,-0.006463,-0.010099,0.564934,0.996321,0.009967,0.004878,-0.084979
1760130277.041966,3,-2.977955,-0.012286,0.018655,-0.006465,-0.010111,0.565160,0.996588,0.009798,0.005360,-0.081779
1760130277.074375,3,-2.971700,-0.014621,0.018649,-0.006462,-0.010099,0.564804,0.996318,0.009911,0.006493,-0.084906
1760130277.110259,3,-2.973700,-0.013596,0.018786,-0.006462,-0.010101,0.564987,0.996406,0.009930,0.005986,-0.083906
1760130277.146247,3,-2.974499,-0.009443,0.018924,-0.006476,-0.010105,0.564985,0.996453,0.009823,0.003915,-0.083490
1760130277.178782,3,-2.974700,-0.014309,0.018711,-0.006471,-0.010108,0.565020,0.996446,0.009919,0.006349,-0.083410
1760130277.214193,3,-2.976426,-0.009306,0.018694,-0.006465,-0.010109,0.565082,0.996534,0.009699,0.003866,-0.082529
1760130277.246737,3,-2.974996,-0.011774,0.018505,-0.006471,-0.010108,0.565020,0.996468,0.009710,0.005096,-0.083251
1760130277.283153,3,-2.974800,-0.009825,0.018957,-0.006468,-0.010107,0.565001,0.996464,0.009855,0.004106,-0.083341
1760130277.315532,3,-2.974415,-0.014457,0.019019,-0.006465,-0.010105,0.565087,0.996432,0.010079,0.006409,-0.083554
1760130277.350685,3,-2.977730,-0.010418,0.018739,-0.006467,-0.010109,0.565208,0.996584,0.009764,0.004425,-0.081883
1760130277.386305,3,-2.976570,-0.012700,0.018884,-0.006464,-0.010109,0.565092,0.996528,0.009933,0.005550,-0.082472
1760130277.418246,3,-2.973479,-0.014296,0.018579,-0.006468,-0.010107,0.565020,0.996395,0.009857,0.006343,-0.084018
1760130277.454803,3,-2.976014,-0.011839,0.018858,-0.006465,-0.010109,0.565145,0.996509,0.009886,0.005119,-0.082745
1760130277.486167,3,-2.974863,-0.010770,0.018633,-0.006469,-0.010106,0.564984,0.996465,0.009732,0.004590,-0.083313
1760130277.522223,3,-2.976218,-0.014064,0.018526,-0.006468,-0.010105,0.565057,0.996511,0.009812,0.006243,-0.082652
1760130277.557883,3,-2.973585,-0.014255,0.018954,-0.006462,-0.010100,0.564983,0.996398,0.010041,0.006307,-0.083967
1760130277.590637,3,-2.975942,-0.009261,0.018886,-0.006473,-0.010105,0.565099,0.996513,0.009794,0.003833,-0.082770
1760130277.626173,3,-2.973573,-0.012390,0.018561,-0.006473,-0.010107,0.564960,0.996406,0.009768,0.005394,-0.083963
1760130277.658433,3,-2.977695,-0.011200,0.018802,-0.006468,-0.010104,0.565049,0.996580,0.009828,0.004812,-0.081904
1760130277.694175,3,-2.973808,-0.012601,0.018640,-0.006465,-0.010103,0.564836,0.996415,0.009815,0.005497,-0.083847
1760130277.726892,3,-2.977192,-0.015355,0.018347,-0.006475,-0.010108,0.565050,0.996546,0.009772,0.006898,-0.082172
1760130277.762590,3,-2.973487,-0.013582,0.018441,-0.006465,-0.010105,0.564937,0.996399,0.009758,0.005993,-0.084011
1760130277.798749,3,-2.974637,-0.012040,0.018986,-0.006464,-0.010102,0.564844,0.996450,0.009961,0.005207,-0.083432
1760130277.830531,3,-2.973886,-0.013281,0.018819,-0.006464,-0.010101,0.564771,0.996415,0.009932,0.005829,-0.083812
1760130277.866386,3,-2.974659,-0.011364,0.018627,-0.006472,-0.010104,0.564907,0.996455,0.009754,0.004885,-0.083418
1760130277.898305,3,-2.976773,-0.013262,0.018760,-0.006471,-0.010109,0.565111,0.996535,0.009894,0.005836,-0.082373
1760130277.934101,3,-2.976750,-0.014067,0.018561,-0.006465,-0.010107,0.565079,0.996532,0.009828,0.006245,-0.082388
