ros_time_sec,fx,fy,fz
1760130277.015864,-0.000495000,0.032168000,-0.221249000
1760130277.017845,0.015152000,0.036624000,-0.221238000
1760130277.019836,-0.003246000,0.027059000,-0.243982000
1760130277.021845,0.001850000,0.033901000,-0.258775000
1760130277.023844,0.010617000,0.029420000,-0.244219000
1760130277.025852,0.014315000,0.051358000,-0.273767000
1760130277.027851,0.015981000,0.041236000,-0.274223000
1760130277.029852,0.014135000,0.036551000,-0.259120000
1760130277.031855,-0.010995000,0.017050000,-0.236979000
1760130277.033858,0.001505000,0.043939000,-0.259129000
1760130277.035864,0.014870000,0.035985000,-0.266500000
1760130277.037853,0.018796000,0.033557000,-0.274256000
1760130277.039857,0.013735000,0.036147000,-0.266621000
1760130277.041849,0.002309000,0.023843000,-0.281932000
1760130277.043859,-0.005134000,0.023955000,-0.229059000
1760130277.045874,0.021984000,0.045978000,-0.190462000
1760130277.047893,-0.000559000,0.012028000,-0.206735000
1760130277.049885,0.010768000,0.033519000,-0.251510000
1760130277.051861,0.023808000,0.016489000,-0.229336000
1760130277.053864,0.014761000,0.031354000,-0.266724000
1760130277.055880,-0.000852000,0.041229000,-0.258696000
1760130277.057883,-0.002864000,0.046494000,-0.251360000
1760130277.059893,0.022532000,0.026369000,-0.282029000
1760130277.061882,-0.001732000,0.021524000,-0.236594000
1760130277.063889,-0.010304000,0.046888000,-0.266332000
1760130277.065876,-0.010190000,0.031559000,-0.244033000
1760130277.067891,-0.000880000,0.021834000,-0.251894000
1760130277.069881,0.007948000,0.016472000,-0.251851000
1760130277.071882,0.008277000,0.006700000,-0.229479000
1760130277.073891,-0.006197000,0.029395000,-0.259248000
1760130277.075884,-0.001579000,0.026933000,-0.266870000
1760130277.077888,-0.010367000,0.011770000,-0.229564000
1760130277.079908,-0.001401000,0.021748000,-0.236653000
1760130277.081905,-0.000740000,0.022195000,-0.236773000
1760130277.083908,0.023436000,0.035480000,-0.243639000
1760130277.085899,0.018419000,0.053742000,-0.273738000
1760130277.087924,0.023794000,0.036415000,-0.228624000
1760130277.089903,-0.002675000,0.016650000,-0.267093000
1760130277.091914,-0.001730000,0.006546000,-0.214340000
1760130277.093896,0.040318000,0.040583000,-0.205852000
1760130277.095917,-0.009279000,0.032099000,-0.244005000
1760130277.097896,-0.015072000,0.038960000,-0.228613000
1760130277.099915,0.022007000,0.031264000,-0.266610000
1760130277.101900,0.001854000,0.028919000,-0.258953000
1760130277.103913,-0.000853000,0.031232000,-0.236265000
1760130277.105902,0.005901000,0.045884000,-0.266467000
1760130277.107911,0.025129000,0.026069000,-0.229021000
1760130277.109921,0.023300000,0.021450000,-0.259493000
1760130277.111925,-0.001908000,0.031525000,-0.236592000
1760130277.113929,-0.002239000,0.046196000,-0.243766000
1760130277.116001,0.006687000,0.041728000,-0.221088000
1760130277.117920,-0.008829000,0.007113000,-0.237141000
1760130277.119922,-0.006140000,0.024528000,-0.206290000
1760130277.121915,0.023130000,0.045765000,-0.198109000
1760130277.123953,0.000126000,0.043428000,-0.190781000
1760130277.125919,-0.001846000,0.036853000,-0.258893000
1760130277.127922,0.024007000,0.031975000,-0.206120000
1760130277.129920,-0.002210000,0.012220000,-0.229422000
1760130277.131924,0.019407000,0.043107000,-0.228500000
1760130277.133923,0.014679000,0.051017000,-0.258553000
1760130277.135923,-0.000963000,0.016606000,-0.214058000
1760130277.137926,-0.013946000,0.019386000,-0.252245000
1760130277.139958,-0.001935000,0.027306000,-0.304870000
1760130277.141939,0.017192000,0.033748000,-0.206001000
1760130277.143939,-0.000817000,0.031977000,-0.243977000
1760130277.145941,-0.004471000,0.034398000,-0.251609000
1760130277.147949,0.024128000,0.031657000,-0.228862000
1760130277.149965,0.022756000,0.025667000,-0.281936000
1760130277.151978,0.030371000,0.040661000,-0.175385000
1760130277.153943,-0.001325000,0.036939000,-0.274134000
1760130277.155967,0.019039000,0.048429000,-0.243535000
1760130277.157945,-0.001498000,-0.002726000,-0.252610000
1760130277.160046,0.011101000,0.018764000,-0.229316000
1760130277.161968,0.014381000,0.041626000,-0.258794000
1760130277.163953,-0.004732000,0.019460000,-0.236756000
1760130277.165959,-0.003089000,0.027486000,-0.274436000
1760130277.167962,0.015202000,0.031310000,-0.281758000
1760130277.169956,0.007398000,-0.003009000,-0.229808000
1760130277.171976,-0.002896000,0.012370000,-0.267363000
1760130277.173963,0.010329000,0.043559000,-0.258908000
1760130277.175976,-0.000369000,0.011890000,-0.221916000
1760130277.177965,0.006014000,0.021951000,-0.259741000
1760130277.179992,0.028913000,0.065606000,-0.242918000
1760130277.181971,0.014750000,0.026224000,-0.206308000
1760130277.183984,0.009880000,0.048751000,-0.273736000
1760130277.186027,-0.004339000,0.014933000,-0.221665000
1760130277.188002,0.007827000,0.016790000,-0.229109000
1760130277.189969,0.023437000,0.026793000,-0.244193000
1760130277.191999,-0.001290000,0.011401000,-0.214176000
1760130277.193978,0.007820000,0.026754000,-0.228753000
1760130277.196003,0.027645000,0.043687000,-0.228564000
1760130277.197978,-0.000782000,0.041409000,-0.251135000
1760130277.200003,0.002119000,0.043691000,-0.243768000
1760130277.201983,0.020058000,0.043604000,-0.220851000
1760130277.203998,0.007939000,0.016439000,-0.229063000
1760130277.205978,0.017999000,0.033976000,-0.297224000
1760130277.207986,0.001854000,0.028919000,-0.258953000
1760130277.209984,0.025312000,0.040794000,-0.228648000
1760130277.212030,0.015704000,0.026233000,-0.213794000
1760130277.214004,-0.000449000,0.026655000,-0.228942000
1760130277.216031,0.013444000,0.045886000,-0.175262000
1760130277.218023,0.010363000,0.057890000,-0.250868000
1760130277.220050,0.018501000,0.034079000,-0.281909000
1760130277.222003,0.006653000,0.046080000,-0.251004000
1760130277.224023,0.009827000,0.043456000,-0.274223000
1760130277.226011,-0.007060000,0.034034000,-0.220982000
1760130277.228014,0.008080000,0.026797000,-0.236374000
1760130277.230001,0.002696000,0.019200000,-0.229035000
1760130277.232032,0.011685000,0.028994000,-0.236640000
1760130277.234000,-0.005761000,0.039231000,-0.258905000
1760130277.236019,0.006153000,0.045894000,-0.251300000
1760130277.237997,0.014321000,0.031399000,-0.251691000
1760130277.240018,-0.001398000,0.016766000,-0.236831000
1760130277.242032,0.032732000,0.031813000,-0.198693000
1760130277.244024,0.009875000,0.043737000,-0.251126000
1760130277.246043,0.013552000,0.036318000,-0.274227000
1760130277.248041,0.007562000,0.045642000,-0.251547000
1760130277.250072,0.009779000,0.019263000,-0.267082000
1760130277.252052,-0.000733000,0.012231000,-0.237129000
1760130277.254086,0.019633000,0.018823000,-0.221728000
1760130277.256024,0.006920000,0.041058000,-0.243783000
1760130277.258026,-0.014306000,0.033428000,-0.289514000
1760130277.260031,0.025499000,0.058091000,-0.205184000
1760130277.262038,0.014294000,0.040683000,-0.289198000
1760130277.264048,-0.001218000,0.031573000,-0.251478000
1760130277.266036,0.002951000,0.039202000,-0.258730000
1760130277.268021,-0.001214000,0.026592000,-0.251656000
1760130277.270055,0.022956000,0.041153000,-0.258721000
1760130277.272039,-0.022043000,0.019167000,-0.237060000
1760130277.274046,-0.001253000,0.022142000,-0.244320000
1760130277.276041,-0.009757000,0.037690000,-0.244066000
1760130277.278047,0.023405000,0.031062000,-0.259090000
1760130277.280061,0.018780000,0.043488000,-0.251112000
1760130277.282084,0.022852000,0.041537000,-0.281554000
1760130277.284061,-0.001766000,0.022089000,-0.251867000
1760130277.286052,0.018352000,0.053478000,-0.266278000
1760130277.288049,0.014860000,0.040851000,-0.228515000
1760130277.290070,-0.002721000,0.022163000,-0.259400000
1760130277.292073,-0.010704000,0.021510000,-0.229149000
1760130277.294090,0.005752000,0.026807000,-0.236923000
1760130277.296075,0.015840000,0.031575000,-0.198495000
1760130277.298070,0.010978000,0.034060000,-0.228828000
1760130277.300064,0.025316000,0.058261000,-0.212791000
1760130277.302061,0.009777000,0.039056000,-0.259118000
1760130277.304065,0.005460000,0.055312000,-0.182462000
1760130277.306075,-0.001859000,0.031806000,-0.213496000
1760130277.308062,-0.009233000,0.026586000,-0.251697000
1760130277.310080,0.009746000,0.028431000,-0.266782000
1760130277.312064,-0.006858000,0.028948000,-0.259128000
1760130277.314085,-0.000449000,0.026655000,-0.228942000
1760130277.316092,-0.001112000,0.032499000,-0.251630000
1760130277.318079,-0.011254000,0.027003000,-0.251791000
1760130277.320086,0.006652000,0.036084000,-0.228573000
1760130277.322093,0.023232000,0.031266000,-0.289484000
1760130277.324095,0.010140000,0.038798000,-0.258925000
1760130277.326107,0.009515000,0.039096000,-0.266518000
1760130277.328108,0.009704000,0.043857000,-0.266501000
1760130277.330122,0.018501000,0.034079000,-0.281909000
1760130277.332089,0.040645000,0.045789000,-0.205734000
1760130277.334104,0.002302000,0.019939000,-0.229482000
1760130277.336095,-0.013412000,0.033902000,-0.243911000
1760130277.338101,0.004434000,0.051418000,-0.182912000
1760130277.340095,-0.001290000,0.011401000,-0.214176000
1760130277.342116,0.027886000,0.043051000,-0.274047000
1760130277.344131,-0.014733000,0.039216000,-0.251460000
1760130277.346120,-0.005613000,0.034444000,-0.213923000
1760130277.348116,0.022966000,0.026208000,-0.259255000
1760130277.350117,0.009779000,0.019263000,-0.267082000
1760130277.352108,-0.000694000,0.016682000,-0.244465000
1760130277.354120,0.022039000,0.055392000,-0.228175000
1760130277.356108,-0.000604000,0.027537000,-0.221474000
1760130277.358111,0.021767000,0.021822000,-0.183677000
1760130277.360113,0.003562000,-0.000418000,-0.245047000
1760130277.362110,0.001672000,0.029090000,-0.266560000
1760130277.364115,0.015635000,0.036048000,-0.243786000
1760130277.366111,0.025021000,0.021439000,-0.229245000
1760130277.368100,0.004276000,0.018827000,-0.213908000
1760130277.370111,0.015456000,0.031237000,-0.251571000
1760130277.372127,0.020322000,0.023770000,-0.221416000
1760130277.374124,0.003765000,0.028770000,-0.243886000
1760130277.376122,0.003609000,0.019657000,-0.213987000
1760130277.378114,-0.010333000,0.036180000,-0.258976000
1760130277.380130,0.027838000,0.033752000,-0.274141000
1760130277.382139,0.014754000,0.026423000,-0.259135000
1760130277.384138,-0.006012000,0.014247000,-0.229388000
1760130277.386131,0.001103000,0.049130000,-0.183014000
1760130277.388127,0.016011000,0.030758000,-0.251538000
1760130277.390226,0.015470000,0.026205000,-0.259517000
1760130277.392215,0.003730000,0.019339000,-0.236728000
1760130277.394194,-0.018104000,0.037377000,-0.229028000
1760130277.396183,-0.000996000,0.027166000,-0.251762000
1760130277.398192,0.023220000,0.036214000,-0.266519000
1760130277.400245,-0.005577000,0.009188000,-0.221812000
1760130277.402226,0.006557000,0.051396000,-0.281428000
1760130277.404248,-0.011083000,0.041777000,-0.243650000
1760130277.406205,0.010342000,0.034408000,-0.228653000
1760130277.408214,-0.011146000,0.031634000,-0.251566000
1760130277.410237,0.039522000,0.031287000,-0.274235000
1760130277.412181,0.010395000,0.033827000,-0.243935000
1760130277.414224,0.014251000,0.046113000,-0.266485000
1760130277.416193,-0.008975000,0.021531000,-0.221688000
1760130277.418221,-0.005759000,0.024253000,-0.236652000
1760130277.420228,0.026641000,0.033767000,-0.304609000
1760130277.422160,0.001694000,0.034502000,-0.183461000
1760130277.424158,0.006799000,0.026482000,-0.213808000
1760130277.426214,-0.003191000,0.041289000,-0.251478000
1760130277.428230,0.003733000,0.014357000,-0.236906000
1760130277.430289,0.002081000,0.004553000,-0.237162000
1760130277.432247,-0.001640000,0.026785000,-0.297218000
1760130277.434193,-0.005614000,0.029628000,-0.244140000
1760130277.436169,-0.005428000,0.024476000,-0.236712000
1760130277.438171,0.031800000,0.030677000,-0.251604000
1760130277.440167,0.030962000,0.040927000,-0.183065000
1760130277.442195,0.015088000,0.051454000,-0.273840000
1760130277.444169,-0.001478000,0.031530000,-0.243858000
1760130277.446179,0.025570000,0.053373000,-0.212821000
1760130277.448346,0.018889000,0.048118000,-0.250888000
1760130277.450253,0.032636000,0.011127000,-0.229293000
1760130277.452197,-0.009009000,0.007201000,-0.229728000
1760130277.454180,-0.010321000,0.031231000,-0.281941000
1760130277.456172,-0.000446000,0.021673000,-0.229120000
1760130277.458201,0.027540000,0.037863000,-0.243610000
1760130277.460216,0.006112000,0.041527000,-0.258983000
1760130277.462177,0.001857000,0.023938000,-0.259131000
1760130277.464203,0.009998000,0.043336000,-0.258848000
1760130277.466176,-0.010809000,0.011898000,-0.229551000
1760130277.468204,0.002883000,0.024044000,-0.244037000
1760130277.470208,0.002971000,-0.000684000,-0.237367000
1760130277.472202,0.018728000,0.033294000,-0.266797000
1760130277.474213,-0.018423000,0.032205000,-0.251934000
1760130277.476204,0.018609000,0.043608000,-0.266487000
1760130277.478204,0.002001000,0.019317000,-0.244188000
1760130277.480190,0.002180000,0.024128000,-0.236404000
1760130277.482248,-0.000698000,0.021663000,-0.244287000
1760130277.484194,0.027227000,0.028323000,-0.183257000
1760130277.486224,0.001633000,0.024640000,-0.259224000
1760130277.488195,0.001528000,0.043425000,-0.236088000
1760130277.490229,0.018945000,0.029053000,-0.297120000
1760130277.492226,-0.000764000,0.016501000,-0.252026000
1760130277.494232,-0.005938000,0.019442000,-0.244437000
1760130277.496223,-0.000869000,0.006889000,-0.252428000
1760130277.498237,0.001832000,0.019355000,-0.244543000
1760130277.500242,0.026959000,0.038939000,-0.281703000
1760130277.502239,-0.011985000,0.026375000,-0.259232000
1760130277.504235,-0.001655000,0.011742000,-0.229389000
1760130277.506262,0.009515000,0.039096000,-0.266518000
1760130277.508231,0.031145000,0.040757000,-0.175459000
1760130277.510236,0.015465000,0.006296000,-0.229674000
1760130277.512239,-0.005749000,0.034282000,-0.281871000
